,original_question_id,question,answer,question tokens,answer tokens,combined_unique_tokens,interrogative_keyword,is_duplicate,question_type,is_numeric_answer,question_length,answer_length
252,290,Who is the History of Magic Professor?,Professor Binns,"['who', 'be', 'history', 'magic', 'professor']","['professor', 'binns']","['who', 'be', 'history', 'magic', 'professor', 'binns']",['who'],False,FR,False,7,2
253,291,What is the name of Fleur Delacour and Bill Weasley’s house?,Shell Cottage,"['what', 'be', 'name', 'fleur', 'delacour', 'bill', 'weasleys', 'house']","['shell', 'cottage']","['what', 'be', 'name', 'fleur', 'delacour', 'bill', 'weasleys', 'house', 'shell', 'cottage']","['what', 'name']",False,FR,False,12,2
254,292,Who among the following served as a Hufflepuff Prefect?,Ernie Macmillan,"['who', 'among', 'follow', 'serve', 'hufflepuff', 'prefect']","['ernie', 'macmillan']","['who', 'among', 'follow', 'serve', 'hufflepuff', 'prefect', 'ernie', 'macmillan']",['who'],False,FR,False,9,2
255,293,What does the Potion for Dreamless Sleep induce?,Drowsiness.,"['what', 'do', 'potion', 'dreamless', 'sleep', 'induce']",['drowsiness'],"['what', 'do', 'potion', 'dreamless', 'sleep', 'induce', 'drowsiness']","['what', 'do']",False,FR,False,8,1
256,294,Who kidnapped Mad-Eye Moody just before the Twiwizard Tounament?,Bartemius Crouch Junior,"['who', 'kidnap', 'madeye', 'moody', 'twiwizard', 'tounament']","['bartemius', 'crouch', 'junior']","['who', 'kidnap', 'madeye', 'moody', 'twiwizard', 'tounament', 'bartemius', 'crouch', 'junior']",['who'],False,FR,False,10,3
257,295,When do Puffskeins hum?,When they're content.,"['when', 'do', 'puffskeins', 'hum']","['when', 'theyre', 'content']","['when', 'do', 'puffskeins', 'hum', 'theyre', 'content']","['when', 'do']",False,FR,False,4,4
258,296,What's one form of Hex-Deflection?,Salvio Hexia,"['whats', 'one', 'form', 'hexdeflection']","['salvio', 'hexia']","['whats', 'one', 'form', 'hexdeflection', 'salvio', 'hexia']",['whats'],False,FR,False,7,2
259,298,Where are the highest quality Shrivelfigs grown?,Abyssinia,"['where', 'be', 'high', 'quality', 'shrivelfigs', 'grow']",['abyssinia'],"['where', 'be', 'high', 'quality', 'shrivelfigs', 'grow', 'abyssinia']",['where'],False,FR,False,7,1
260,299,Which of the Hogwarts ghosts is Peeves afraid of?,The Bloody Baron,"['which', 'hogwarts', 'ghost', 'be', 'peeve', 'afraid']","['bloody', 'baron']","['which', 'hogwarts', 'ghost', 'be', 'peeve', 'afraid', 'bloody', 'baron']",['which'],False,FR,False,9,3
261,300,Who is the flying instructor?,Madam Hooch,"['who', 'be', 'fly', 'instructor']","['madam', 'hooch']","['who', 'be', 'fly', 'instructor', 'madam', 'hooch']",['who'],False,FR,False,5,2
262,301,What are the colors of Ravenclaw?,Blue and bronze,"['what', 'be', 'color', 'ravenclaw']","['blue', 'bronze']","['what', 'be', 'color', 'ravenclaw', 'blue', 'bronze']",['what'],False,FR,False,6,3
263,302,What did Wendelin do to make sure she wasn't recognized?,Wore disguises.,"['what', 'do', 'wendelin', 'make', 'sure', 'wasnt', 'recognize']","['wore', 'disguise']","['what', 'do', 'wendelin', 'make', 'sure', 'wasnt', 'recognize', 'wore', 'disguise']","['what', 'do']",False,FR,False,11,2
264,303,Where can Knotgrass be found?,The Forbidden Forest,"['where', 'can', 'knotgrass', 'found']","['forbidden', 'forest']","['where', 'can', 'knotgrass', 'found', 'forbidden', 'forest']","['where', 'can']",False,FR,False,5,3
265,304,Which of Voldemort’s Horcruxes do Harry and Dumbledore track down—but it turns out to be a fake?,Slytherin’s locket,"['which', 'voldemorts', 'horcruxes', 'do', 'harry', 'dumbledore', 'track', 'downbut', 'turn', 'fake']","['slytherins', 'locket']","['which', 'voldemorts', 'horcruxes', 'do', 'harry', 'dumbledore', 'track', 'downbut', 'turn', 'fake', 'slytherins', 'locket']","['which', 'do']",False,FR,False,19,3
266,305,"In Harry Potter and the Prisoner of Azkaban, where is the secret passage from Hogwarts to Honeydukes hidden?",Beneath the statue of the one-eyed witch,"['harry', 'potter', 'prisoner', 'azkaban', 'where', 'be', 'secret', 'passage', 'hogwarts', 'honeydukes', 'hide']","['beneath', 'statue', 'oneeyed', 'witch']","['harry', 'potter', 'prisoner', 'azkaban', 'where', 'be', 'secret', 'passage', 'hogwarts', 'honeydukes', 'hide', 'beneath', 'statue', 'oneeyed', 'witch']",['where'],False,FR,False,18,8
267,306,Mimbulus mimbletonia secretes what substance?,Stinksap,"['mimbulus', 'mimbletonia', 'secrete', 'what', 'substance']",['stinksap'],"['mimbulus', 'mimbletonia', 'secrete', 'what', 'substance', 'stinksap']",['what'],True,FR,False,5,1
268,307,What does Charlie Weasley do for a living after graduation?,Study dragons,"['what', 'do', 'charlie', 'weasley', 'live', 'graduation']","['study', 'dragon']","['what', 'do', 'charlie', 'weasley', 'live', 'graduation', 'study', 'dragon']","['what', 'do']",False,FR,False,10,2
269,308,What kind of wood is Harry's first wand made out of?,Holly,"['what', 'kind', 'wood', 'be', 'harry', 'first', 'wand', 'make']",['holly'],"['what', 'kind', 'wood', 'be', 'harry', 'first', 'wand', 'make', 'holly']",['what'],False,FR,False,12,1
270,309,Harry discovers he’s one of Voldemort’s seven Horcruxes. What are the others?,"Tom Riddle’s Diary, Nagini, the giant ring, the Hufflepuff cup, Slytherin Locket, and Ravenclaw diadem.","['harry', 'discovers', 'hes', 'one', 'voldemorts', 'seven', 'horcruxes', 'what', 'be', 'others']","['tom', 'riddle', 'diary', 'nagini', 'giant', 'ring', 'hufflepuff', 'cup', 'slytherin', 'locket', 'ravenclaw', 'diadem']","['harry', 'discovers', 'hes', 'one', 'voldemorts', 'seven', 'horcruxes', 'what', 'be', 'others', 'tom', 'riddle', 'diary', 'nagini', 'giant', 'ring', 'hufflepuff', 'cup', 'slytherin', 'locket', 'ravenclaw', 'diadem']",['what'],False,FR,False,14,16
271,310,Thestrals are mistakenly considered to be omens of what?,Misfortune.,"['thestrals', 'be', 'mistakenly', 'consider', 'omens', 'what']",['misfortune'],"['thestrals', 'be', 'mistakenly', 'consider', 'omens', 'what', 'misfortune']",['what'],False,FR,False,9,1
272,311,What is the name of the magical hospital?,St. Mungo's Hospital for Magical Maladies and Injuries.,"['what', 'be', 'name', 'magical', 'hospital']","['st', 'mungos', 'hospital', 'magical', 'malady', 'injury']","['what', 'be', 'name', 'magical', 'hospital', 'st', 'mungos', 'malady', 'injury']","['what', 'name']",False,FR,False,8,9
273,312,What is the name of Harry's owl?,Hedwig,"['what', 'be', 'name', 'harrys', 'owl']",['hedwig'],"['what', 'be', 'name', 'harrys', 'owl', 'hedwig']","['what', 'name']",False,FR,False,8,1
274,313,Which Quidditch players fend off the Bludgers?,The Beaters,"['which', 'quidditch', 'player', 'fend', 'bludgers']",['beater'],"['which', 'quidditch', 'player', 'fend', 'bludgers', 'beater']",['which'],False,FR,False,7,2
275,314,How many staircases does Hogwarts have?,142,"['how', 'many', 'staircase', 'do', 'hogwarts', 'have']",[],"['how', 'many', 'staircase', 'do', 'hogwarts', 'have']","['how', 'do', 'have']",False,FR,False,6,1
276,315,What was the point of this lesson?,Fine tune your skills,"['what', 'be', 'point', 'lesson']","['fine', 'tune', 'skill']","['what', 'be', 'point', 'lesson', 'fine', 'tune', 'skill']",['what'],False,FR,False,7,4
277,318,Who wrote the book Curses and Counter-Curses?,Viridian,"['who', 'write', 'book', 'curse', 'countercurses']",['viridian'],"['who', 'write', 'book', 'curse', 'countercurses', 'viridian']",['who'],False,FR,False,8,1
278,319,In what capacity did the Sardinian sorcerers attend the Convention?,Sub-Committee,"['what', 'capacity', 'do', 'sardinian', 'sorcerer', 'attend', 'convention']",['subcommittee'],"['what', 'capacity', 'do', 'sardinian', 'sorcerer', 'attend', 'convention', 'subcommittee']","['what', 'do']",False,FR,False,10,2
279,320,How did Harry first arrive (and ultimately depart from)the Dursley's house on 4 Privet Drive?,Flying Motorobike,"['how', 'do', 'harry', 'first', 'arrive', 'ultimately', 'depart', 'fromthe', 'dursleys', 'house', 'privet', 'drive']","['fly', 'motorobike']","['how', 'do', 'harry', 'first', 'arrive', 'ultimately', 'depart', 'fromthe', 'dursleys', 'house', 'privet', 'drive', 'fly', 'motorobike']","['how', 'do']",False,FR,False,17,2
280,321,"When stirring a Wiggenweld Potion, how many times will the solution change color during the stirring process?",Several,"['when', 'stir', 'wiggenweld', 'potion', 'how', 'many', 'time', 'will', 'solution', 'change', 'color', 'process']",['several'],"['when', 'stir', 'wiggenweld', 'potion', 'how', 'many', 'time', 'will', 'solution', 'change', 'color', 'process', 'several']","['when', 'how', 'will']",False,FR,False,17,1
281,322,Which incantation cancels all spell effects?,Finite Incantatem,"['which', 'incantation', 'cancel', 'spell', 'effect']","['finite', 'incantatem']","['which', 'incantation', 'cancel', 'spell', 'effect', 'finite', 'incantatem']",['which'],False,FR,False,6,2
282,323,In what year did the Gargoyle Strike take place?,1911,"['what', 'year', 'do', 'gargoyle', 'strike', 'take', 'place']",[],"['what', 'year', 'do', 'gargoyle', 'strike', 'take', 'place']","['what', 'do']",False,FR,False,9,1
283,324,"What was connected by the Floo Network, creating a mode of transportation for Witches and Wizards?",Fireplaces,"['what', 'be', 'connect', 'floo', 'network', 'create', 'mode', 'transportation', 'witch', 'wizard']",['fireplace'],"['what', 'be', 'connect', 'floo', 'network', 'create', 'mode', 'transportation', 'witch', 'wizard', 'fireplace']",['what'],False,FR,False,16,1
284,325,What is a group of Bowtruckles called?,Branch,"['what', 'be', 'group', 'bowtruckles', 'call']",['branch'],"['what', 'be', 'group', 'bowtruckles', 'call', 'branch']",['what'],False,FR,False,7,1
285,326,Who was the original owner of the locket Horcrux?,Salazar Slytherin,"['who', 'be', 'original', 'owner', 'locket', 'horcrux']","['salazar', 'slytherin']","['who', 'be', 'original', 'owner', 'locket', 'horcrux', 'salazar', 'slytherin']",['who'],False,FR,False,9,2
286,327,What name was Harry Potter using when he was captured at Malfoy Manor by the Death Eaters?,Vernon Dudley,"['what', 'name', 'be', 'harry', 'potter', 'use', 'when', 'capture', 'malfoy', 'manor', 'death', 'eater']","['vernon', 'dudley']","['what', 'name', 'be', 'harry', 'potter', 'use', 'when', 'capture', 'malfoy', 'manor', 'death', 'eater', 'vernon', 'dudley']","['what', 'name', 'when']",False,FR,False,17,2
287,329,What am I most known for?,My Partially Severed Neck,"['what', 'know']","['partially', 'sever', 'neck']","['what', 'know', 'partially', 'sever', 'neck']",['what'],False,FR,False,6,4
288,330,Which pub in London conceals the entrance to Diagon Alley?,The Leaky Cauldron,"['which', 'pub', 'london', 'conceals', 'entrance', 'diagon', 'alley']","['leaky', 'cauldron']","['which', 'pub', 'london', 'conceals', 'entrance', 'diagon', 'alley', 'leaky', 'cauldron']",['which'],False,FR,False,10,3
289,331,Do you know what potion is effective against Banshees?,The Laughing Potion,"['do', 'know', 'what', 'potion', 'be', 'effective', 'banshee']","['laugh', 'potion']","['do', 'know', 'what', 'potion', 'be', 'effective', 'banshee', 'laugh']","['what', 'do']",False,FR,False,9,3
290,332,What do Dark Spells require in order to be successful?,Malicious Intent,"['what', 'do', 'dark', 'spell', 'require', 'order', 'successful']","['malicious', 'intent']","['what', 'do', 'dark', 'spell', 'require', 'order', 'successful', 'malicious', 'intent']","['what', 'do']",False,FR,False,10,2
291,333,What are meteor showers usually named after?,Constellations.,"['what', 'be', 'meteor', 'shower', 'usually', 'name']",['constellation'],"['what', 'be', 'meteor', 'shower', 'usually', 'name', 'constellation']","['what', 'name']",False,FR,False,7,1
292,334,Who discovered the 12 uses for dragon blood?,Professor Dumbledore,"['who', 'discover', 'us', 'dragon', 'blood']","['professor', 'dumbledore']","['who', 'discover', 'us', 'dragon', 'blood', 'professor', 'dumbledore']",['who'],False,FR,False,8,2
293,336,Which Quidditch ball is equipped with the Gripping Charm?,Quaffle,"['which', 'quidditch', 'ball', 'be', 'equip', 'grip', 'charm']",['quaffle'],"['which', 'quidditch', 'ball', 'be', 'equip', 'grip', 'charm', 'quaffle']",['which'],False,FR,False,9,1
294,337,Name the six subjects every Hogwarts student is required to study during their first two years of school.,"Astronomy, Charms, Defense Against the Dark Arts, Herbology, History of Magic, Potions, and Transfiguration.","['name', 'six', 'subject', 'every', 'hogwarts', 'student', 'be', 'require', 'study', 'first', 'two', 'year', 'school']","['astronomy', 'charm', 'defense', 'dark', 'art', 'herbology', 'history', 'magic', 'potion', 'transfiguration']","['name', 'six', 'subject', 'every', 'hogwarts', 'student', 'be', 'require', 'study', 'first', 'two', 'year', 'school', 'astronomy', 'charm', 'defense', 'dark', 'art', 'herbology', 'history', 'magic', 'potion', 'transfiguration']",['name'],False,FR,False,18,14
295,338,"What kind of pet does Harry own, and what is her name?",An owl named Hedwig.,"['what', 'kind', 'pet', 'do', 'harry', 'be', 'name']","['owl', 'name', 'hedwig']","['what', 'kind', 'pet', 'do', 'harry', 'be', 'name', 'owl', 'hedwig']","['what', 'name', 'do']",False,FR,False,12,4
296,339,What covers the distinct nettle leaf?,Stinging hairs.,"['what', 'cover', 'distinct', 'nettle', 'leaf']","['sting', 'hair']","['what', 'cover', 'distinct', 'nettle', 'leaf', 'sting', 'hair']",['what'],False,FR,False,6,2
297,341,"In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal?",Troy,"['quidditch', 'world', 'cup', 'irelands', 'team', 'three', 'main', 'chaser', 'mullet', 'troy', 'moran', 'which', 'one', 'score', 'first', 'goal']",['troy'],"['quidditch', 'world', 'cup', 'irelands', 'team', 'three', 'main', 'chaser', 'mullet', 'troy', 'moran', 'which', 'one', 'score', 'first', 'goal']",['which'],False,FR,False,22,1
298,342,What incantation shrinks an object?,Reducio,"['what', 'incantation', 'shrink', 'object']",['reducio'],"['what', 'incantation', 'shrink', 'object', 'reducio']",['what'],False,FR,False,5,1
299,343,Who is the Divination Professor?,Professor Trelawney,"['who', 'be', 'divination', 'professor']","['professor', 'trelawney']","['who', 'be', 'divination', 'professor', 'trelawney']",['who'],True,FR,False,5,2
300,344,What spell vanishes an object?,Evanesco,"['what', 'spell', 'vanishes', 'object']",['evanesco'],"['what', 'spell', 'vanishes', 'object', 'evanesco']",['what'],False,FR,False,5,1
301,345,What is the most powerful truth serum?,Veritaserum,"['what', 'be', 'powerful', 'truth', 'serum']",['veritaserum'],"['what', 'be', 'powerful', 'truth', 'serum', 'veritaserum']",['what'],False,FR,False,7,1
302,346,Who is the Head of Ravenclaw House?,Professor Flitwick,"['who', 'be', 'head', 'ravenclaw', 'house']","['professor', 'flitwick']","['who', 'be', 'head', 'ravenclaw', 'house', 'professor', 'flitwick']",['who'],False,FR,False,7,2
303,347,"If one wished to increase the effect of the Bombarda spell, which incantation would you use?",Bombarda Maxima,"['one', 'wished', 'increase', 'effect', 'bombarda', 'spell', 'which', 'incantation', 'would', 'use']","['bombarda', 'maximum']","['one', 'wished', 'increase', 'effect', 'bombarda', 'spell', 'which', 'incantation', 'would', 'use', 'maximum']","['which', 'would']",False,FR,False,16,2
304,348,What is an acceptable use of the Orb?,Divining the future,"['what', 'be', 'acceptable', 'use', 'orb']","['divine', 'future']","['what', 'be', 'acceptable', 'use', 'orb', 'divine', 'future']",['what'],False,FR,False,8,3
305,349,What type of Ghoul is capable of disguising itself?,Chameleon Ghouls,"['what', 'type', 'ghoul', 'be', 'capable', 'disguise']","['chameleon', 'ghoul']","['what', 'type', 'ghoul', 'be', 'capable', 'disguise', 'chameleon']",['what'],False,FR,False,9,2
306,350,Who is the sister of Death Eater Bellatrix Lestrange?,Narcissa Malfoy,"['who', 'be', 'sister', 'death', 'eater', 'bellatrix', 'lestrange']","['narcissa', 'malfoy']","['who', 'be', 'sister', 'death', 'eater', 'bellatrix', 'lestrange', 'narcissa', 'malfoy']",['who'],False,FR,False,9,2
307,351,Which is NOT a reason for a wizard to remain on earth as a ghost?,Hunger,"['which', 'be', 'reason', 'wizard', 'remain', 'earth', 'ghost']",['hunger'],"['which', 'be', 'reason', 'wizard', 'remain', 'earth', 'ghost', 'hunger']",['which'],False,FR,False,15,1
308,352,Who kills Dobby?,Bellatrix Lestrange,"['who', 'kill', 'dobby']","['bellatrix', 'lestrange']","['who', 'kill', 'dobby', 'bellatrix', 'lestrange']",['who'],False,FR,False,3,2
309,353,What does Hagrid use to channel the pieces of his wand once it's been broken?,A pink umbrella,"['what', 'do', 'hagrid', 'use', 'channel', 'piece', 'wand', 'broken']","['pink', 'umbrella']","['what', 'do', 'hagrid', 'use', 'channel', 'piece', 'wand', 'broken', 'pink', 'umbrella']","['what', 'do']",False,FR,False,16,3
310,354,What is the animal symbol of Ravenclaw?,Eagle,"['what', 'be', 'animal', 'symbol', 'ravenclaw']",['eagle'],"['what', 'be', 'animal', 'symbol', 'ravenclaw', 'eagle']",['what'],False,FR,False,7,1
311,355,True or false: Harry Potter and the Deathly Hallows: Part Two is the shortest Harry Potter movie.,True! The run time is just 130 minutes.,"['true', 'false', 'harry', 'potter', 'deathly', 'hallows', 'part', 'two', 'be', 'short', 'movie']","['true', 'run', 'time', 'be', 'minute']","['true', 'false', 'harry', 'potter', 'deathly', 'hallows', 'part', 'two', 'be', 'short', 'movie', 'run', 'time', 'minute']",N/A,False,YN,False,17,8
312,356,"Snape grilled Harry about this on his first day in Potions. Monkshood and wolfsbane are the same plant, also known as what?",Aconite.,"['snape', 'grill', 'harry', 'first', 'day', 'potion', 'monkshood', 'wolfsbane', 'be', 'plant', 'also', 'know', 'what']",['aconite'],"['snape', 'grill', 'harry', 'first', 'day', 'potion', 'monkshood', 'wolfsbane', 'be', 'plant', 'also', 'know', 'what', 'aconite']",['what'],False,FR,False,22,1
313,357,What's the only all-wizard village in Britain?,Hogsmeade,"['whats', 'allwizard', 'village', 'britain']",['hogsmeade'],"['whats', 'allwizard', 'village', 'britain', 'hogsmeade']",['whats'],False,FR,False,9,1
314,359,Pepperup Potion evolved from a remedy created by what 12th century wizard?,Linfred of Stinchcombe,"['pepperup', 'potion', 'evolve', 'remedy', 'create', 'what', 'th', 'century', 'wizard']","['linfred', 'stinchcombe']","['pepperup', 'potion', 'evolve', 'remedy', 'create', 'what', 'th', 'century', 'wizard', 'linfred', 'stinchcombe']",['what'],False,FR,False,12,3
315,360,Who was the Hogwarts headmaster before Albus Dumbledore?,Armando Dippet,"['who', 'be', 'hogwarts', 'headmaster', 'albus', 'dumbledore']","['armando', 'dippet']","['who', 'be', 'hogwarts', 'headmaster', 'albus', 'dumbledore', 'armando', 'dippet']",['who'],False,FR,False,8,2
316,361,Scourgify can be used to clean out infestations of what magical creature?,Bundimun,"['scourgify', 'can', 'use', 'clean', 'infestation', 'what', 'magical', 'creature']",['bundimun'],"['scourgify', 'can', 'use', 'clean', 'infestation', 'what', 'magical', 'creature', 'bundimun']","['what', 'can']",False,FR,False,12,1
317,362,Where was Harry born?,Godric's Hollow,"['where', 'be', 'harry', 'born']","['godrics', 'hollow']","['where', 'be', 'harry', 'born', 'godrics', 'hollow']",['where'],True,FR,False,4,3
318,363,The Medieval Assembly of European Wizards is related to which convention?,International Warlock Convention,"['medieval', 'assembly', 'european', 'wizard', 'be', 'relate', 'which', 'convention']","['international', 'warlock', 'convention']","['medieval', 'assembly', 'european', 'wizard', 'be', 'relate', 'which', 'convention', 'international', 'warlock']",['which'],False,FR,False,11,3
319,364,Which spell does the Cleaning Charm most resemble?,Scouring Charm,"['which', 'spell', 'do', 'clean', 'charm', 'resemble']","['scour', 'charm']","['which', 'spell', 'do', 'clean', 'charm', 'resemble', 'scour']","['which', 'do']",False,FR,False,8,2
320,365,Why did students think Harry was the Heir of Slytherin?,He can speak Parseltongue.,"['why', 'do', 'student', 'think', 'harry', 'be', 'heir', 'slytherin']","['can', 'speak', 'parseltongue']","['why', 'do', 'student', 'think', 'harry', 'be', 'heir', 'slytherin', 'can', 'speak', 'parseltongue']","['why', 'do']",True,EX,False,10,4
321,366,Where are the vaults kept in Gringotts Bank?,Deep underground.,"['where', 'be', 'vaults', 'kept', 'gringotts', 'bank']","['deep', 'underground']","['where', 'be', 'vaults', 'kept', 'gringotts', 'bank', 'deep', 'underground']",['where'],False,FR,False,8,2
322,367,Which dark magic item is known as the friend of thieves?,Hand of Glory,"['which', 'dark', 'magic', 'item', 'be', 'know', 'friend', 'thief']","['hand', 'glory']","['which', 'dark', 'magic', 'item', 'be', 'know', 'friend', 'thief', 'hand', 'glory']",['which'],False,FR,False,11,3
323,368,Where does Rubeus Hagrid first tell Harry that he’s a wizard?,In a hut on a rock,"['where', 'do', 'rubeus', 'hagrid', 'first', 'tell', 'harry', 'he', 'wizard']","['hut', 'rock']","['where', 'do', 'rubeus', 'hagrid', 'first', 'tell', 'harry', 'he', 'wizard', 'hut', 'rock']","['where', 'do']",False,FR,False,12,6
324,370,What charm can repel a Lethiford?,Patronus Charm,"['what', 'charm', 'can', 'repel', 'lethiford']","['patronus', 'charm']","['what', 'charm', 'can', 'repel', 'lethiford', 'patronus']","['what', 'can']",True,FR,False,6,2
325,371,What dragon did Fleur Delacour face in the first task of the Triwizard Tournament?,Welsh Green,"['what', 'dragon', 'do', 'fleur', 'delacour', 'face', 'first', 'task', 'triwizard', 'tournament']","['welsh', 'green']","['what', 'dragon', 'do', 'fleur', 'delacour', 'face', 'first', 'task', 'triwizard', 'tournament', 'welsh', 'green']","['what', 'do']",False,FR,False,14,2
326,372,What is an animagus?,A person with an animal form,"['what', 'be', 'animagus']","['person', 'animal', 'form']","['what', 'be', 'animagus', 'person', 'animal', 'form']",['what'],False,FR,False,4,6
327,373,What's the term for an object imbued with a fragment of a wizard's soul?,Horcrux,"['whats', 'term', 'object', 'imbue', 'fragment', 'wizard', 'soul']",['horcrux'],"['whats', 'term', 'object', 'imbue', 'fragment', 'wizard', 'soul', 'horcrux']",['whats'],False,FR,False,16,1
328,374,What is the primary ingredient in Polyjuice potion?,The hair of the person you want to transform into,"['what', 'be', 'primary', 'ingredient', 'polyjuice', 'potion']","['hair', 'person', 'want', 'transform']","['what', 'be', 'primary', 'ingredient', 'polyjuice', 'potion', 'hair', 'person', 'want', 'transform']",['what'],False,FR,False,8,10
329,375,Who spoke at Aragog's funeral?,Horace Slughorn,"['who', 'speak', 'aragogs', 'funeral']","['horace', 'slughorn']","['who', 'speak', 'aragogs', 'funeral', 'horace', 'slughorn']",['who'],False,FR,False,6,2
330,376,Who is the ghost of Slytherin House?,The Bloody Baron,"['who', 'be', 'ghost', 'slytherin', 'house']","['bloody', 'baron']","['who', 'be', 'ghost', 'slytherin', 'house', 'bloody', 'baron']",['who'],True,FR,False,7,3
331,377,Which potion should you all be required to drink before entering my potion?,Wit-Sharpening Potion,"['which', 'potion', 'should', 'require', 'drink', 'enter']","['witsharpening', 'potion']","['which', 'potion', 'should', 'require', 'drink', 'enter', 'witsharpening']","['which', 'should']",False,FR,False,13,3
332,379,"After Draco insults Hermione, Ron cast a spell that backfired. What did he intend for Draco to eat?",Slugs,"['draco', 'insult', 'hermione', 'ron', 'cast', 'spell', 'backfire', 'what', 'do', 'intend', 'eat']",['slug'],"['draco', 'insult', 'hermione', 'ron', 'cast', 'spell', 'backfire', 'what', 'do', 'intend', 'eat', 'slug']","['what', 'do']",False,FR,False,18,1
333,380,Where's one place you would not find any gnomes?,Antarctica,"['wheres', 'one', 'place', 'would', 'find', 'gnome']",['antarctica'],"['wheres', 'one', 'place', 'would', 'find', 'gnome', 'antarctica']","['wheres', 'would']",False,FR,False,10,1
334,381,Where would you look to find a bezoar?,In the stomach of a goat,"['where', 'would', 'look', 'find', 'bezoar']","['stomach', 'goat']","['where', 'would', 'look', 'find', 'bezoar', 'stomach', 'goat']","['where', 'would']",False,FR,False,8,6
335,383,What did Fred and George Weasley use to spy on Order of the Phoenix meetings?,Extendable Ears,"['what', 'do', 'fred', 'george', 'weasley', 'use', 'spy', 'order', 'phoenix', 'meeting']","['extendable', 'ear']","['what', 'do', 'fred', 'george', 'weasley', 'use', 'spy', 'order', 'phoenix', 'meeting', 'extendable', 'ear']","['what', 'do']",True,FR,False,15,2
336,384,"In the Hall of Prophecy, there are rows and rows of glowing orbs. Which row contains the prophecy about Harry and Voldemort?",97,"['hall', 'prophecy', 'be', 'row', 'glow', 'orb', 'which', 'contain', 'harry', 'voldemort']",[],"['hall', 'prophecy', 'be', 'row', 'glow', 'orb', 'which', 'contain', 'harry', 'voldemort']",['which'],False,FR,False,22,1
337,385,Lily Potter once gave Professor Slughorn a bowl with a lily that turned into a goldfish. What was the goldfish’s name?,Francis,"['lily', 'potter', 'give', 'professor', 'slughorn', 'bowl', 'turn', 'goldfish', 'what', 'be', 'goldfishs', 'name']",['francis'],"['lily', 'potter', 'give', 'professor', 'slughorn', 'bowl', 'turn', 'goldfish', 'what', 'be', 'goldfishs', 'name', 'francis']","['what', 'name']",False,FR,False,22,1
338,386,What is the name of the ghost who haunts the Hogwarts bathroom?,Moaning Myrtle,"['what', 'be', 'name', 'ghost', 'who', 'haunt', 'hogwarts', 'bathroom']","['moan', 'myrtle']","['what', 'be', 'name', 'ghost', 'who', 'haunt', 'hogwarts', 'bathroom', 'moan', 'myrtle']","['what', 'name', 'who']",True,FR,False,12,2
339,387,What is the name of the librarian at Hogwarts?,Madam Pince,"['what', 'be', 'name', 'librarian', 'hogwarts']","['madam', 'pince']","['what', 'be', 'name', 'librarian', 'hogwarts', 'madam', 'pince']","['what', 'name']",False,FR,False,9,2
340,388,What are the four Hogwarts houses?,"Gryffindor, Ravenclaw, Slytherin, and Hufflepuff.","['what', 'be', 'four', 'hogwarts', 'house']","['gryffindor', 'ravenclaw', 'slytherin', 'hufflepuff']","['what', 'be', 'four', 'hogwarts', 'house', 'gryffindor', 'ravenclaw', 'slytherin', 'hufflepuff']",['what'],False,FR,False,6,5
341,389,How long was You-Know-Who in power?,11 Years,"['how', 'long', 'be', 'youknowwho', 'power']",['year'],"['how', 'long', 'be', 'youknowwho', 'power', 'year']",['how'],False,FR,False,8,2
342,390,What magical plant did Luna Lovegood have growing at home?,Dirigible Plums,"['what', 'magical', 'plant', 'do', 'luna', 'lovegood', 'have', 'grow', 'home']","['dirigible', 'plum']","['what', 'magical', 'plant', 'do', 'luna', 'lovegood', 'have', 'grow', 'home', 'dirigible', 'plum']","['what', 'do', 'have']",False,FR,False,10,2
343,392,"What do the abbreviations for the two main wizarding exams, O.W.L.s and N.E.W.T.s, stand for?",Ordinary Wizarding Level and Nastily Exhausting Wizarding Test.,"['what', 'do', 'abbreviation', 'two', 'main', 'wizarding', 'exams', 'owls', 'newt', 'stand']","['ordinary', 'wizarding', 'level', 'nastily', 'exhaust', 'test']","['what', 'do', 'abbreviation', 'two', 'main', 'wizarding', 'exams', 'owls', 'newt', 'stand', 'ordinary', 'level', 'nastily', 'exhaust', 'test']","['what', 'do']",False,FR,False,22,8
344,394,The Diricawl is actually thought to be which extinct Muggle bird?,The Dodo.,"['diricawl', 'be', 'actually', 'think', 'which', 'extinct', 'muggle', 'bird']",['dodo'],"['diricawl', 'be', 'actually', 'think', 'which', 'extinct', 'muggle', 'bird', 'dodo']",['which'],False,FR,False,11,2
345,395,"In Book 3, what is Neville Longbottom's greatest fear, revealed upon facing a boggart in Lupin's class?",Professor Snape.,"['book', 'what', 'be', 'neville', 'longbottoms', 'great', 'fear', 'reveal', 'upon', 'face', 'boggart', 'lupins', 'class']","['professor', 'snape']","['book', 'what', 'be', 'neville', 'longbottoms', 'great', 'fear', 'reveal', 'upon', 'face', 'boggart', 'lupins', 'class', 'professor', 'snape']",['what'],False,FR,False,19,2
346,396,Who was the House-Eld that once served Barty Crouch Senior?,Winky,"['who', 'be', 'houseeld', 'serve', 'barty', 'crouch', 'senior']",['winky'],"['who', 'be', 'houseeld', 'serve', 'barty', 'crouch', 'senior', 'winky']",['who'],False,FR,False,11,1
