,original_question_id,question,answer,question tokens,answer tokens,combined_unique_tokens,interrogative_keywords,main_keyword
264,264,Where can Shrivelfigs be found?,Abyssinia,['where' 'can' 'shrivelfigs' 'be' 'find'],['abyssinia'],['where' 'can' 'shrivelfigs' 'be' 'find' 'abyssinia'],['where' 'can' 'be'],where
265,265,"Moony, Wormtail, Padfoot, and Prongs are code names for which four characters?","Remus Lupin, Peter Pettigrew, Sirius Black, and James Potter.","['moony' 'wormtail' 'padfoot' 'prong' 'be' 'code' 'name' 'which' 'four'
 'character']",['remus' 'lupin' 'peter' 'pettigrew' 'sirius' 'black' 'james' 'potter'],"['moony' 'wormtail' 'padfoot' 'prong' 'be' 'code' 'name' 'which' 'four'
 'character' 'remus' 'lupin' 'peter' 'pettigrew' 'sirius' 'black' 'james'
 'potter']",['be' 'name' 'which'],name
266,266,What is the name of the powerful and dangerous artifact that Voldemort creates in the Harry Potter series by splitting his soul into seven pieces?,The Horcruxes,"['what' 'be' 'name' 'powerful' 'dangerous' 'artifact' 'voldemort'
 'creates' 'harry' 'potter' 'series' 'split' 'soul' 'seven' 'piece']",['horcruxes'],"['what' 'be' 'name' 'powerful' 'dangerous' 'artifact' 'voldemort'
 'creates' 'harry' 'potter' 'series' 'split' 'soul' 'seven' 'piece'
 'horcruxes']",['what' 'be' 'name'],what
267,267,How many times did Wendelin the Weird allow herself to be caught?,Forty-seven.,['how' 'many' 'time' 'do' 'wendelin' 'weird' 'allow' 'be' 'catch'],['forty' 'seven'],"['how' 'many' 'time' 'do' 'wendelin' 'weird' 'allow' 'be' 'catch' 'forty'
 'seven']",['how' 'do' 'be'],how
268,268,What can cause a person's patronus to change?,Major Life Events,['what' 'can' 'cause' 'person' 'patronus' 'change'],['major' 'life' 'event'],['what' 'can' 'cause' 'person' 'patronus' 'change' 'major' 'life' 'event'],['what' 'can'],what
269,269,Which Quidditch players score goals?,The Chasers,['which' 'quidditch' 'player' 'score' 'goal'],['chaser'],['which' 'quidditch' 'player' 'score' 'goal' 'chaser'],['which'],which
270,270,What magical plant allows humans to breathe underwater?,Gillyweed,['what' 'magical' 'plant' 'allows' 'human' 'breathe' 'underwater'],['gillyweed'],"['what' 'magical' 'plant' 'allows' 'human' 'breathe' 'underwater'
 'gillyweed']",['what'],what
271,271,How do you tell if a door is Imperturbable?,Chuck stuff at it,['how' 'do' 'tell' 'door' 'be' 'imperturbable'],['chuck' 'stuff'],['how' 'do' 'tell' 'door' 'be' 'imperturbable' 'chuck' 'stuff'],['how' 'do' 'be'],how
272,272,Who does Harry take to the Yule Ball?,Parvati Patil,['who' 'do' 'harry' 'take' 'yule' 'ball'],['parvati' 'patil'],['who' 'do' 'harry' 'take' 'yule' 'ball' 'parvati' 'patil'],['who' 'do'],who
273,273,In which situation would the Blackboard Writing Spell be useful?,Summarising a lecture,['which' 'situation' 'would' 'blackboard' 'write' 'spell' 'be' 'useful'],['summarise' 'lecture'],"['which' 'situation' 'would' 'blackboard' 'write' 'spell' 'be' 'useful'
 'summarise' 'lecture']",['which' 'would' 'be'],which
274,274,"In 1997, what was written on the statue at the Ministry of Magic under Voldemort's control?",Magic is Might,"['1997' 'what' 'be' 'write' 'statue' 'ministry' 'magic' 'voldemort'
 'control']",['magic' 'be' 'might'],"['1997' 'what' 'be' 'write' 'statue' 'ministry' 'magic' 'voldemort'
 'control' 'might']",['what' 'be'],what
275,275,When is Neville's birthday?,July 30,['when' 'be' 'neville' 'birthday'],['july' '30'],['when' 'be' 'neville' 'birthday' 'july' '30'],['when' 'be'],when
276,276,Where could you buy broomsticks?,Quality Quidditch Supplies,['where' 'could' 'buy' 'broomstick'],['quality' 'quidditch' 'supply'],['where' 'could' 'buy' 'broomstick' 'quality' 'quidditch' 'supply'],['where' 'could'],where
277,277,What does the Sorcerer's Stone do?,"It produces the Elixir of Life, granting immortality, and can turn any metal into pure gold.",['what' 'do' 'sorcerer' 'stone'],"['produce' 'elixir' 'life' 'grant' 'immortality' 'can' 'turn' 'metal'
 'pure' 'gold']","['what' 'do' 'sorcerer' 'stone' 'produce' 'elixir' 'life' 'grant'
 'immortality' 'can' 'turn' 'metal' 'pure' 'gold']",['what' 'do'],what
278,278,Which creatures guard wand-making trees?,Bowtruckles,['which' 'creatures' 'guard' 'wand' 'making' 'tree'],['bowtruckles'],['which' 'creatures' 'guard' 'wand' 'making' 'tree' 'bowtruckles'],['which'],which
279,279,Screechsnaps are capable of doing which of the following?,Move & Make Noise,['screechsnaps' 'be' 'capable' 'do' 'which' 'follow'],['move' 'make' 'noise'],['screechsnaps' 'be' 'capable' 'do' 'which' 'follow' 'move' 'make' 'noise'],['be' 'do' 'which'],which
280,280,"Monkshood and wolfsbane are the same plant, also known as what?",Aconite,['monkshood' 'wolfsbane' 'be' 'plant' 'also' 'know' 'what'],['aconite'],['monkshood' 'wolfsbane' 'be' 'plant' 'also' 'know' 'what' 'aconite'],['be' 'what'],what
281,281,Who is the Half-Blood Prince?,Severus Snape,['who' 'be' 'half' 'blood' 'prince'],['severus' 'snape'],['who' 'be' 'half' 'blood' 'prince' 'severus' 'snape'],['who' 'be'],who
282,282,How did Fred and George get the money to open their shop?,They won a bet on the Quidditch World Cup,['how' 'do' 'fred' 'george' 'get' 'money' 'open' 'shop'],['win' 'bet' 'quidditch' 'world' 'cup'],"['how' 'do' 'fred' 'george' 'get' 'money' 'open' 'shop' 'win' 'bet'
 'quidditch' 'world' 'cup']",['how' 'do'],how
283,283,Who did Harry overhear in the Three Broomsticks talking about how Sirius Black betrayed his parents?,"Professor Flitwick, Professor McGonagall, Hagrid, Cornelius Fudge and Madam Rosmerta","['who' 'do' 'harry' 'overhear' 'three' 'broomstick' 'talk' 'how' 'sirius'
 'black' 'betray' 'parent']","['professor' 'flitwick' 'mcgonagall' 'hagrid' 'cornelius' 'fudge' 'madam'
 'rosmerta']","['who' 'do' 'harry' 'overhear' 'three' 'broomstick' 'talk' 'how' 'sirius'
 'black' 'betray' 'parent' 'professor' 'flitwick' 'mcgonagall' 'hagrid'
 'cornelius' 'fudge' 'madam' 'rosmerta']",['who' 'do' 'how'],who
284,284,Which of these titles or identities has not been held by Harry Potter?,SPEW Treasurer,['which' 'title' 'identity' 'have' 'be' 'hold' 'harry' 'potter'],['spew' 'treasurer'],"['which' 'title' 'identity' 'have' 'be' 'hold' 'harry' 'potter' 'spew'
 'treasurer']",['which' 'have' 'be'],which
285,285,How many Knuts equal one Sickle?,29,['how' 'many' 'knut' 'equal' 'one' 'sickle'],['29'],['how' 'many' 'knut' 'equal' 'one' 'sickle' '29'],['how'],how
286,286,What is the incantation for the snake-vanishing spell?,Vipera Evanesca.,['what' 'be' 'incantation' 'snake' 'vanishing' 'spell'],['vipera' 'evanesca'],['what' 'be' 'incantation' 'snake' 'vanishing' 'spell' 'vipera' 'evanesca'],['what' 'be'],what
287,287,How many points is a goal worth?,Ten,['how' 'many' 'point' 'be' 'goal' 'worth'],['ten'],['how' 'many' 'point' 'be' 'goal' 'worth' 'ten'],['how' 'be'],how
288,288,"In the epilogue to the book, who says, “Don’t let it worry you. It’s me, I’m extremely famous.”",Ron Weasley,['epilogue' 'book' 'who' 'say' 'let' 'worry' 'extremely' 'famous'],['ron' 'weasley'],"['epilogue' 'book' 'who' 'say' 'let' 'worry' 'extremely' 'famous' 'ron'
 'weasley']",['who'],who
289,289,What does Harry steal from Dolores Umbridge’s office in the Ministry of Magic?,Mad-Eye Moody’s magical eyeball,"['what' 'do' 'harry' 'steal' 'dolores' 'umbridge' 'office' 'ministry'
 'magic']",['mad' 'eye' 'moody' 'magical' 'eyeball'],"['what' 'do' 'harry' 'steal' 'dolores' 'umbridge' 'office' 'ministry'
 'magic' 'mad' 'eye' 'moody' 'magical' 'eyeball']",['what' 'do'],what
290,290,Who is the History of Magic Professor?,Professor Binns,['who' 'be' 'history' 'magic' 'professor'],['professor' 'binns'],['who' 'be' 'history' 'magic' 'professor' 'binns'],['who' 'be'],who
291,291,What is the name of Fleur Delacour and Bill Weasley’s house?,Shell Cottage,['what' 'be' 'name' 'fleur' 'delacour' 'bill' 'weasley' 'house'],['shell' 'cottage'],"['what' 'be' 'name' 'fleur' 'delacour' 'bill' 'weasley' 'house' 'shell'
 'cottage']",['what' 'be' 'name'],what
292,292,Who among the following served as a Hufflepuff Prefect?,Ernie Macmillan,['who' 'among' 'follow' 'serve' 'hufflepuff' 'prefect'],['ernie' 'macmillan'],['who' 'among' 'follow' 'serve' 'hufflepuff' 'prefect' 'ernie' 'macmillan'],['who'],who
293,293,What does the Potion for Dreamless Sleep induce?,Drowsiness.,['what' 'do' 'potion' 'dreamless' 'sleep' 'induce'],['drowsiness'],['what' 'do' 'potion' 'dreamless' 'sleep' 'induce' 'drowsiness'],['what' 'do'],what
294,294,Who kidnapped Mad-Eye Moody just before the Twiwizard Tounament?,Bartemius Crouch Junior,['who' 'kidnap' 'mad' 'eye' 'moody' 'twiwizard' 'tounament'],['bartemius' 'crouch' 'junior'],"['who' 'kidnap' 'mad' 'eye' 'moody' 'twiwizard' 'tounament' 'bartemius'
 'crouch' 'junior']",['who'],who
295,295,When do Puffskeins hum?,When they're content.,['when' 'do' 'puffskeins' 'hum'],['when' 'content'],['when' 'do' 'puffskeins' 'hum' 'content'],['when' 'do'],when
296,296,What's one form of Hex-Deflection?,Salvio Hexia,['what' 'one' 'form' 'hex' 'deflection'],['salvio' 'hexia'],['what' 'one' 'form' 'hex' 'deflection' 'salvio' 'hexia'],['what'],what
297,297,Who of the following was not a classmate of Harry Potter?,Fleur Delacour,['who' 'following' 'be' 'classmate' 'harry' 'potter'],['fleur' 'delacour'],['who' 'following' 'be' 'classmate' 'harry' 'potter' 'fleur' 'delacour'],['who' 'be'],who
298,298,Where are the highest quality Shrivelfigs grown?,Abyssinia,['where' 'be' 'high' 'quality' 'shrivelfigs' 'grow'],['abyssinia'],['where' 'be' 'high' 'quality' 'shrivelfigs' 'grow' 'abyssinia'],['where' 'be'],where
299,299,Which of the Hogwarts ghosts is Peeves afraid of?,The Bloody Baron,['which' 'hogwarts' 'ghost' 'be' 'peeve' 'afraid'],['bloody' 'baron'],['which' 'hogwarts' 'ghost' 'be' 'peeve' 'afraid' 'bloody' 'baron'],['which' 'be'],which
300,300,Who is the flying instructor?,Madam Hooch,['who' 'be' 'fly' 'instructor'],['madam' 'hooch'],['who' 'be' 'fly' 'instructor' 'madam' 'hooch'],['who' 'be'],who
301,301,What are the colors of Ravenclaw?,Blue and bronze,['what' 'be' 'color' 'ravenclaw'],['blue' 'bronze'],['what' 'be' 'color' 'ravenclaw' 'blue' 'bronze'],['what' 'be'],what
302,302,What did Wendelin do to make sure she wasn't recognized?,Wore disguises.,['what' 'do' 'wendelin' 'make' 'sure' 'recognize'],['wore' 'disguise'],['what' 'do' 'wendelin' 'make' 'sure' 'recognize' 'wore' 'disguise'],['what' 'do'],what
303,303,Where can Knotgrass be found?,The Forbidden Forest,['where' 'can' 'knotgrass' 'be' 'find'],['forbidden' 'forest'],['where' 'can' 'knotgrass' 'be' 'find' 'forbidden' 'forest'],['where' 'can' 'be'],where
304,304,Which of Voldemort’s Horcruxes do Harry and Dumbledore track down—but it turns out to be a fake?,Slytherin’s locket,"['which' 'voldemort' 'horcruxes' 'do' 'harry' 'dumbledore' 'track' 'turn'
 'be' 'fake']",['slytherin' 'locket'],"['which' 'voldemort' 'horcruxes' 'do' 'harry' 'dumbledore' 'track' 'turn'
 'be' 'fake' 'slytherin' 'locket']",['which' 'do' 'be'],which
305,305,"In Harry Potter and the Prisoner of Azkaban, where is the secret passage from Hogwarts to Honeydukes hidden?",Beneath the statue of the one-eyed witch,"['harry' 'potter' 'prisoner' 'azkaban' 'where' 'be' 'secret' 'passage'
 'hogwarts' 'honeydukes' 'hide']",['beneath' 'statue' 'one' 'eye' 'witch'],"['harry' 'potter' 'prisoner' 'azkaban' 'where' 'be' 'secret' 'passage'
 'hogwarts' 'honeydukes' 'hide' 'beneath' 'statue' 'one' 'eye' 'witch']",['where' 'be'],where
306,306,Mimbulus mimbletonia secretes what substance?,Stinksap,['mimbulus' 'mimbletonia' 'secrete' 'what' 'substance'],['stinksap'],['mimbulus' 'mimbletonia' 'secrete' 'what' 'substance' 'stinksap'],['what'],what
307,307,What does Charlie Weasley do for a living after graduation?,Study dragons,['what' 'do' 'charlie' 'weasley' 'living' 'graduation'],['study' 'dragon'],['what' 'do' 'charlie' 'weasley' 'living' 'graduation' 'study' 'dragon'],['what' 'do'],what
308,308,What kind of wood is Harry's first wand made out of?,Holly,['what' 'kind' 'wood' 'be' 'harry' 'first' 'wand' 'make'],['holly'],['what' 'kind' 'wood' 'be' 'harry' 'first' 'wand' 'make' 'holly'],['what' 'be'],what
309,309,Harry discovers he’s one of Voldemort’s seven Horcruxes. What are the others?,"Tom Riddle’s Diary, Nagini, the giant ring, the Hufflepuff cup, Slytherin Locket, and Ravenclaw diadem.","['harry' 'discovers' 'one' 'voldemort' 'seven' 'horcruxes' 'what' 'be'
 'others']","['tom' 'riddle' 'diary' 'nagini' 'giant' 'ring' 'hufflepuff' 'cup'
 'slytherin' 'locket' 'ravenclaw' 'diadem']","['harry' 'discovers' 'one' 'voldemort' 'seven' 'horcruxes' 'what' 'be'
 'others' 'tom' 'riddle' 'diary' 'nagini' 'giant' 'ring' 'hufflepuff'
 'cup' 'slytherin' 'locket' 'ravenclaw' 'diadem']",['what' 'be'],what
310,310,Thestrals are mistakenly considered to be omens of what?,Misfortune.,['thestrals' 'be' 'mistakenly' 'consider' 'omen' 'what'],['misfortune'],['thestrals' 'be' 'mistakenly' 'consider' 'omen' 'what' 'misfortune'],['be' 'what'],what
311,311,What is the name of the magical hospital?,St. Mungo's Hospital for Magical Maladies and Injuries.,['what' 'be' 'name' 'magical' 'hospital'],['st' 'mungo' 'hospital' 'magical' 'malady' 'injury'],['what' 'be' 'name' 'magical' 'hospital' 'st' 'mungo' 'malady' 'injury'],['what' 'be' 'name'],what
312,312,What is the name of Harry's owl?,Hedwig,['what' 'be' 'name' 'harry' 'owl'],['hedwig'],['what' 'be' 'name' 'harry' 'owl' 'hedwig'],['what' 'be' 'name'],what
313,313,Which Quidditch players fend off the Bludgers?,The Beaters,['which' 'quidditch' 'player' 'fend' 'bludgers'],['beater'],['which' 'quidditch' 'player' 'fend' 'bludgers' 'beater'],['which'],which
314,314,How many staircases does Hogwarts have?,142,['how' 'many' 'staircase' 'do' 'hogwarts' 'have'],['142'],['how' 'many' 'staircase' 'do' 'hogwarts' 'have' '142'],['how' 'do' 'have'],how
315,315,What was the point of this lesson?,Fine tune your skills,['what' 'be' 'point' 'lesson'],['fine' 'tune' 'skill'],['what' 'be' 'point' 'lesson' 'fine' 'tune' 'skill'],['what' 'be'],what
316,316,How many presents did Dudley Dursley receive on his birthday in total?,"38. It was 36 (one less than last year), but then Mrs. Dursley bought him two new presents to make up for it.","['how' 'many' 'present' 'do' 'dudley' 'dursley' 'receive' 'birthday'
 'total']","['38' 'be' '36' 'one' 'less' 'last' 'year' 'mrs' 'dursley' 'buy' 'two'
 'new' 'present' 'make']","['how' 'many' 'present' 'do' 'dudley' 'dursley' 'receive' 'birthday'
 'total' '38' 'be' '36' 'one' 'less' 'last' 'year' 'mrs' 'buy' 'two' 'new'
 'make']",['how' 'do'],how
317,317,Which of the following was not a breed of Dragon faced by the Triwizard Tournament Champions?,Norwegian Ridgeback,"['which' 'following' 'be' 'breed' 'dragon' 'face' 'triwizard' 'tournament'
 'champion']",['norwegian' 'ridgeback'],"['which' 'following' 'be' 'breed' 'dragon' 'face' 'triwizard' 'tournament'
 'champion' 'norwegian' 'ridgeback']",['which' 'be'],which
318,318,Who wrote the book Curses and Counter-Curses?,Viridian,['who' 'write' 'book' 'curse' 'counter'],['viridian'],['who' 'write' 'book' 'curse' 'counter' 'viridian'],['who'],who
319,319,In what capacity did the Sardinian sorcerers attend the Convention?,Sub-Committee,['what' 'capacity' 'do' 'sardinian' 'sorcerer' 'attend' 'convention'],['sub' 'committee'],"['what' 'capacity' 'do' 'sardinian' 'sorcerer' 'attend' 'convention' 'sub'
 'committee']",['what' 'do'],what
320,320,How did Harry first arrive (and ultimately depart from)the Dursley's house on 4 Privet Drive?,Flying Motorobike,"['how' 'do' 'harry' 'first' 'arrive' 'ultimately' 'depart' 'dursley'
 'house' 'privet' 'drive']",['fly' 'motorobike'],"['how' 'do' 'harry' 'first' 'arrive' 'ultimately' 'depart' 'dursley'
 'house' 'privet' 'drive' 'fly' 'motorobike']",['how' 'do'],how
321,321,"When stirring a Wiggenweld Potion, how many times will the solution change color during the stirring process?",Several,"['when' 'stir' 'wiggenweld' 'potion' 'how' 'many' 'time' 'solution'
 'change' 'color' 'stirring' 'process']",['several'],"['when' 'stir' 'wiggenweld' 'potion' 'how' 'many' 'time' 'solution'
 'change' 'color' 'stirring' 'process' 'several']",['when' 'how'],when
322,322,Which incantation cancels all spell effects?,Finite Incantatem,['which' 'incantation' 'cancel' 'spell' 'effect'],['finite' 'incantatem'],['which' 'incantation' 'cancel' 'spell' 'effect' 'finite' 'incantatem'],['which'],which
323,323,In what year did the Gargoyle Strike take place?,1911,['what' 'year' 'do' 'gargoyle' 'strike' 'take' 'place'],['1911'],['what' 'year' 'do' 'gargoyle' 'strike' 'take' 'place' '1911'],['what' 'do'],what
324,324,"What was connected by the Floo Network, creating a mode of transportation for Witches and Wizards?",Fireplaces,"['what' 'be' 'connect' 'floo' 'network' 'create' 'mode' 'transportation'
 'witch' 'wizard']",['fireplace'],"['what' 'be' 'connect' 'floo' 'network' 'create' 'mode' 'transportation'
 'witch' 'wizard' 'fireplace']",['what' 'be'],what
325,325,What is a group of Bowtruckles called?,Branch,['what' 'be' 'group' 'bowtruckles' 'call'],['branch'],['what' 'be' 'group' 'bowtruckles' 'call' 'branch'],['what' 'be'],what
326,326,Who was the original owner of the locket Horcrux?,Salazar Slytherin,['who' 'be' 'original' 'owner' 'locket' 'horcrux'],['salazar' 'slytherin'],['who' 'be' 'original' 'owner' 'locket' 'horcrux' 'salazar' 'slytherin'],['who' 'be'],who
327,327,What name was Harry Potter using when he was captured at Malfoy Manor by the Death Eaters?,Vernon Dudley,"['what' 'name' 'be' 'harry' 'potter' 'use' 'when' 'capture' 'malfoy'
 'manor' 'death' 'eater']",['vernon' 'dudley'],"['what' 'name' 'be' 'harry' 'potter' 'use' 'when' 'capture' 'malfoy'
 'manor' 'death' 'eater' 'vernon' 'dudley']",['what' 'name' 'be' 'when'],what
328,328,Which of these creatures' blood will keep a human alive?,Unicorn,['which' 'creature' 'blood' 'keep' 'human' 'alive'],['unicorn'],['which' 'creature' 'blood' 'keep' 'human' 'alive' 'unicorn'],['which'],which
329,329,What am I most known for?,My Partially Severed Neck,['what' 'be' 'know'],['partially' 'sever' 'neck'],['what' 'be' 'know' 'partially' 'sever' 'neck'],['what' 'be'],what
330,330,Which pub in London conceals the entrance to Diagon Alley?,The Leaky Cauldron,['which' 'pub' 'london' 'conceals' 'entrance' 'diagon' 'alley'],['leaky' 'cauldron'],"['which' 'pub' 'london' 'conceals' 'entrance' 'diagon' 'alley' 'leaky'
 'cauldron']",['which'],which
331,331,Do you know what potion is effective against Banshees?,The Laughing Potion,['do' 'know' 'what' 'potion' 'be' 'effective' 'banshee'],['laughing' 'potion'],['do' 'know' 'what' 'potion' 'be' 'effective' 'banshee' 'laughing'],['do' 'what' 'be'],what
332,332,What do Dark Spells require in order to be successful?,Malicious Intent,['what' 'do' 'dark' 'spell' 'require' 'order' 'be' 'successful'],['malicious' 'intent'],"['what' 'do' 'dark' 'spell' 'require' 'order' 'be' 'successful'
 'malicious' 'intent']",['what' 'do' 'be'],what
333,333,What are meteor showers usually named after?,Constellations.,['what' 'be' 'meteor' 'shower' 'usually' 'name'],['constellation'],['what' 'be' 'meteor' 'shower' 'usually' 'name' 'constellation'],['what' 'be' 'name'],what
334,334,Who discovered the 12 uses for dragon blood?,Professor Dumbledore,['who' 'discover' '12' 'us' 'dragon' 'blood'],['professor' 'dumbledore'],['who' 'discover' '12' 'us' 'dragon' 'blood' 'professor' 'dumbledore'],['who'],who
335,335,How many Lionfish Spines are used in one batch of Herbicide Potion?,Four,"['how' 'many' 'lionfish' 'spine' 'be' 'use' 'one' 'batch' 'herbicide'
 'potion']",['four'],"['how' 'many' 'lionfish' 'spine' 'be' 'use' 'one' 'batch' 'herbicide'
 'potion' 'four']",['how' 'be'],how
336,336,Which Quidditch ball is equipped with the Gripping Charm?,Quaffle,['which' 'quidditch' 'ball' 'be' 'equip' 'gripping' 'charm'],['quaffle'],['which' 'quidditch' 'ball' 'be' 'equip' 'gripping' 'charm' 'quaffle'],['which' 'be'],which
337,337,Name the six subjects every Hogwarts student is required to study during their first two years of school.,"Astronomy, Charms, Defense Against the Dark Arts, Herbology, History of Magic, Potions, and Transfiguration.","['name' 'six' 'subject' 'every' 'hogwarts' 'student' 'be' 'require'
 'study' 'first' 'two' 'year' 'school']","['astronomy' 'charm' 'defense' 'dark' 'art' 'herbology' 'history' 'magic'
 'potion' 'transfiguration']","['name' 'six' 'subject' 'every' 'hogwarts' 'student' 'be' 'require'
 'study' 'first' 'two' 'year' 'school' 'astronomy' 'charm' 'defense'
 'dark' 'art' 'herbology' 'history' 'magic' 'potion' 'transfiguration']",['name' 'be'],name
338,338,"What kind of pet does Harry own, and what is her name?",An owl named Hedwig.,['what' 'kind' 'pet' 'do' 'harry' 'be' 'name'],['owl' 'name' 'hedwig'],['what' 'kind' 'pet' 'do' 'harry' 'be' 'name' 'owl' 'hedwig'],['what' 'do' 'be' 'name'],what
339,339,What covers the distinct nettle leaf?,Stinging hairs.,['what' 'cover' 'distinct' 'nettle' 'leaf'],['sting' 'hair'],['what' 'cover' 'distinct' 'nettle' 'leaf' 'sting' 'hair'],['what'],what
340,340,Do you know what kind of creature a Boggart is? Because I [Merula] do.,Non-being,['do' 'know' 'what' 'kind' 'creature' 'boggart' 'be' 'merula'],['non' 'be'],['do' 'know' 'what' 'kind' 'creature' 'boggart' 'be' 'merula' 'non'],['do' 'what' 'be'],what
341,341,"In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal?",Troy,"['quidditch' 'world' 'cup' 'ireland' 'team' 'have' 'three' 'main' 'chaser'
 'mullet' 'troy' 'moran' 'which' 'one' 'score' 'first' 'goal']",['troy'],"['quidditch' 'world' 'cup' 'ireland' 'team' 'have' 'three' 'main' 'chaser'
 'mullet' 'troy' 'moran' 'which' 'one' 'score' 'first' 'goal']",['have' 'which'],which
342,342,What incantation shrinks an object?,Reducio,['what' 'incantation' 'shrink' 'object'],['reducio'],['what' 'incantation' 'shrink' 'object' 'reducio'],['what'],what
343,343,Who is the Divination Professor?,Professor Trelawney,['who' 'be' 'divination' 'professor'],['professor' 'trelawney'],['who' 'be' 'divination' 'professor' 'trelawney'],['who' 'be'],who
344,344,What spell vanishes an object?,Evanesco,['what' 'spell' 'vanish' 'object'],['evanesco'],['what' 'spell' 'vanish' 'object' 'evanesco'],['what'],what
345,345,What is the most powerful truth serum?,Veritaserum,['what' 'be' 'powerful' 'truth' 'serum'],['veritaserum'],['what' 'be' 'powerful' 'truth' 'serum' 'veritaserum'],['what' 'be'],what
346,346,Who is the Head of Ravenclaw House?,Professor Flitwick,['who' 'be' 'head' 'ravenclaw' 'house'],['professor' 'flitwick'],['who' 'be' 'head' 'ravenclaw' 'house' 'professor' 'flitwick'],['who' 'be'],who
347,347,"If one wished to increase the effect of the Bombarda spell, which incantation would you use?",Bombarda Maxima,"['one' 'wish' 'increase' 'effect' 'bombarda' 'spell' 'which' 'incantation'
 'would' 'use']",['bombarda' 'maximum'],"['one' 'wish' 'increase' 'effect' 'bombarda' 'spell' 'which' 'incantation'
 'would' 'use' 'maximum']",['which' 'would'],which
348,348,What is an acceptable use of the Orb?,Divining the future,['what' 'be' 'acceptable' 'use' 'orb'],['divine' 'future'],['what' 'be' 'acceptable' 'use' 'orb' 'divine' 'future'],['what' 'be'],what
349,349,What type of Ghoul is capable of disguising itself?,Chameleon Ghouls,['what' 'type' 'ghoul' 'be' 'capable' 'disguise'],['chameleon' 'ghoul'],['what' 'type' 'ghoul' 'be' 'capable' 'disguise' 'chameleon'],['what' 'be'],what
350,350,Who is the sister of Death Eater Bellatrix Lestrange?,Narcissa Malfoy,['who' 'be' 'sister' 'death' 'eater' 'bellatrix' 'lestrange'],['narcissa' 'malfoy'],"['who' 'be' 'sister' 'death' 'eater' 'bellatrix' 'lestrange' 'narcissa'
 'malfoy']",['who' 'be'],who
351,351,Which is NOT a reason for a wizard to remain on earth as a ghost?,Hunger,['which' 'be' 'reason' 'wizard' 'remain' 'earth' 'ghost'],['hunger'],['which' 'be' 'reason' 'wizard' 'remain' 'earth' 'ghost' 'hunger'],['which' 'be'],which
352,352,Who kills Dobby?,Bellatrix Lestrange,['who' 'kill' 'dobby'],['bellatrix' 'lestrange'],['who' 'kill' 'dobby' 'bellatrix' 'lestrange'],['who'],who
353,353,What does Hagrid use to channel the pieces of his wand once it's been broken?,A pink umbrella,['what' 'do' 'hagrid' 'use' 'channel' 'piece' 'wand' 'be' 'break'],['pink' 'umbrella'],"['what' 'do' 'hagrid' 'use' 'channel' 'piece' 'wand' 'be' 'break' 'pink'
 'umbrella']",['what' 'do' 'be'],what
354,354,What is the animal symbol of Ravenclaw?,Eagle,['what' 'be' 'animal' 'symbol' 'ravenclaw'],['eagle'],['what' 'be' 'animal' 'symbol' 'ravenclaw' 'eagle'],['what' 'be'],what
355,355,True or false: Harry Potter and the Deathly Hallows: Part Two is the shortest Harry Potter movie.,True! The run time is just 130 minutes.,"['true' 'false' 'harry' 'potter' 'deathly' 'hallows' 'part' 'two' 'be'
 'short' 'movie']",['true' 'run' 'time' 'be' '130' 'minute'],"['true' 'false' 'harry' 'potter' 'deathly' 'hallows' 'part' 'two' 'be'
 'short' 'movie' 'run' 'time' '130' 'minute']",['true' 'false' 'be'],true
356,356,"Snape grilled Harry about this on his first day in Potions. Monkshood and wolfsbane are the same plant, also known as what?",Aconite.,"['snape' 'grill' 'harry' 'first' 'day' 'potion' 'monkshood' 'wolfsbane'
 'be' 'plant' 'also' 'know' 'what']",['aconite'],"['snape' 'grill' 'harry' 'first' 'day' 'potion' 'monkshood' 'wolfsbane'
 'be' 'plant' 'also' 'know' 'what' 'aconite']",['be' 'what'],what
357,357,What's the only all-wizard village in Britain?,Hogsmeade,['what' 'wizard' 'village' 'britain'],['hogsmeade'],['what' 'wizard' 'village' 'britain' 'hogsmeade'],['what'],what
358,358,"Oy, you'll be sure to remember this one. During our first day of Herbology class, what creature took the form of a werewolf and gave Penny Haywood a scare?",Boggart,"['oy' 'be' 'sure' 'remember' 'one' 'first' 'day' 'herbology' 'class'
 'what' 'creature' 'take' 'form' 'werewolf' 'give' 'penny' 'haywood'
 'scare']",['boggart'],"['oy' 'be' 'sure' 'remember' 'one' 'first' 'day' 'herbology' 'class'
 'what' 'creature' 'take' 'form' 'werewolf' 'give' 'penny' 'haywood'
 'scare' 'boggart']",['be' 'what'],what
359,359,Pepperup Potion evolved from a remedy created by what 12th century wizard?,Linfred of Stinchcombe,"['pepperup' 'potion' 'evolve' 'remedy' 'create' 'what' '12th' 'century'
 'wizard']",['linfred' 'stinchcombe'],"['pepperup' 'potion' 'evolve' 'remedy' 'create' 'what' '12th' 'century'
 'wizard' 'linfred' 'stinchcombe']",['what'],what
360,360,Who was the Hogwarts headmaster before Albus Dumbledore?,Armando Dippet,['who' 'be' 'hogwarts' 'headmaster' 'albus' 'dumbledore'],['armando' 'dippet'],"['who' 'be' 'hogwarts' 'headmaster' 'albus' 'dumbledore' 'armando'
 'dippet']",['who' 'be'],who
