,original_question_id,question,answer,question tokens,answer tokens,combined_unique_tokens,interrogative_keywords,main_keyword,question_length,answer_length,question_type,answer_type
182,304,Which of Voldemort’s Horcruxes do Harry and Dumbledore track down—but it turns out to be a fake?,Slytherin’s locket,"['which' 'voldemort' 'horcruxes' 'do' 'harry' 'dumbledore' 'track' 'turn'
 'be' 'fake']",['slytherin' 'locket'],"['which' 'voldemort' 'horcruxes' 'do' 'harry' 'dumbledore' 'track' 'turn'
 'be' 'fake' 'slytherin' 'locket']",['which' 'do' 'be'],which,19,3,FR,text
183,307,What does Charlie Weasley do for a living after graduation?,Study dragons,['what' 'do' 'charlie' 'weasley' 'living' 'graduation'],['study' 'dragon'],['what' 'do' 'charlie' 'weasley' 'living' 'graduation' 'study' 'dragon'],['what' 'do'],what,10,2,FR,text
184,308,What kind of wood is Harry's first wand made out of?,Holly,['what' 'kind' 'wood' 'be' 'harry' 'first' 'wand' 'make'],['holly'],['what' 'kind' 'wood' 'be' 'harry' 'first' 'wand' 'make' 'holly'],['what' 'be'],what,12,1,FR,text
185,310,Thestrals are mistakenly considered to be omens of what?,Misfortune.,['thestrals' 'be' 'mistakenly' 'consider' 'omen' 'what'],['misfortune'],['thestrals' 'be' 'mistakenly' 'consider' 'omen' 'what' 'misfortune'],['be' 'what'],what,9,1,FR,text
186,311,What is the name of the magical hospital?,St. Mungo's Hospital for Magical Maladies and Injuries.,['what' 'be' 'name' 'magical' 'hospital'],['st' 'mungo' 'hospital' 'magical' 'malady' 'injury'],['what' 'be' 'name' 'magical' 'hospital' 'st' 'mungo' 'malady' 'injury'],['what' 'be' 'name'],what,8,9,FR,text
187,312,What is the name of Harry's owl?,Hedwig,['what' 'be' 'name' 'harry' 'owl'],['hedwig'],['what' 'be' 'name' 'harry' 'owl' 'hedwig'],['what' 'be' 'name'],what,8,1,FR,text
188,313,Which Quidditch players fend off the Bludgers?,The Beaters,['which' 'quidditch' 'player' 'fend' 'bludgers'],['beater'],['which' 'quidditch' 'player' 'fend' 'bludgers' 'beater'],['which'],which,7,2,FR,text
189,320,How did Harry first arrive (and ultimately depart from)the Dursley's house on 4 Privet Drive?,Flying Motorobike,"['how' 'do' 'harry' 'first' 'arrive' 'ultimately' 'depart' 'dursley'
 'house' 'privet' 'drive']",['fly' 'motorobike'],"['how' 'do' 'harry' 'first' 'arrive' 'ultimately' 'depart' 'dursley'
 'house' 'privet' 'drive' 'fly' 'motorobike']",['how' 'do'],how,17,2,EX,text
190,322,Which incantation cancels all spell effects?,Finite Incantatem,['which' 'incantation' 'cancel' 'spell' 'effect'],['finite' 'incantatem'],['which' 'incantation' 'cancel' 'spell' 'effect' 'finite' 'incantatem'],['which'],which,6,2,FR,text
191,324,"What was connected by the Floo Network, creating a mode of transportation for Witches and Wizards?",Fireplaces,"['what' 'be' 'connect' 'floo' 'network' 'create' 'mode' 'transportation'
 'witch' 'wizard']",['fireplace'],"['what' 'be' 'connect' 'floo' 'network' 'create' 'mode' 'transportation'
 'witch' 'wizard' 'fireplace']",['what' 'be'],what,16,1,FR,text
192,325,What is a group of Bowtruckles called?,Branch,['what' 'be' 'group' 'bowtruckles' 'call'],['branch'],['what' 'be' 'group' 'bowtruckles' 'call' 'branch'],['what' 'be'],what,7,1,FR,text
193,326,Who was the original owner of the locket Horcrux?,Salazar Slytherin,['who' 'be' 'original' 'owner' 'locket' 'horcrux'],['salazar' 'slytherin'],['who' 'be' 'original' 'owner' 'locket' 'horcrux' 'salazar' 'slytherin'],['who' 'be'],who,9,2,FR,text
194,327,What name was Harry Potter using when he was captured at Malfoy Manor by the Death Eaters?,Vernon Dudley,"['what' 'name' 'be' 'harry' 'potter' 'use' 'when' 'capture' 'malfoy'
 'manor' 'death' 'eater']",['vernon' 'dudley'],"['what' 'name' 'be' 'harry' 'potter' 'use' 'when' 'capture' 'malfoy'
 'manor' 'death' 'eater' 'vernon' 'dudley']",['what' 'name' 'be' 'when'],what,17,2,FR,text
195,330,Which pub in London conceals the entrance to Diagon Alley?,The Leaky Cauldron,['which' 'pub' 'london' 'conceals' 'entrance' 'diagon' 'alley'],['leaky' 'cauldron'],"['which' 'pub' 'london' 'conceals' 'entrance' 'diagon' 'alley' 'leaky'
 'cauldron']",['which'],which,10,3,FR,text
196,332,What do Dark Spells require in order to be successful?,Malicious Intent,['what' 'do' 'dark' 'spell' 'require' 'order' 'be' 'successful'],['malicious' 'intent'],"['what' 'do' 'dark' 'spell' 'require' 'order' 'be' 'successful'
 'malicious' 'intent']",['what' 'do' 'be'],what,10,2,FR,text
197,334,Who discovered the 12 uses for dragon blood?,Professor Dumbledore,['who' 'discover' '12' 'us' 'dragon' 'blood'],['professor' 'dumbledore'],['who' 'discover' '12' 'us' 'dragon' 'blood' 'professor' 'dumbledore'],['who'],who,8,2,FR,text
198,336,Which Quidditch ball is equipped with the Gripping Charm?,Quaffle,['which' 'quidditch' 'ball' 'be' 'equip' 'gripping' 'charm'],['quaffle'],['which' 'quidditch' 'ball' 'be' 'equip' 'gripping' 'charm' 'quaffle'],['which' 'be'],which,9,1,FR,text
199,337,Name the six subjects every Hogwarts student is required to study during their first two years of school.,"Astronomy, Charms, Defense Against the Dark Arts, Herbology, History of Magic, Potions, and Transfiguration.","['name' 'six' 'subject' 'every' 'hogwarts' 'student' 'be' 'require'
 'study' 'first' 'two' 'year' 'school']","['astronomy' 'charm' 'defense' 'dark' 'art' 'herbology' 'history' 'magic'
 'potion' 'transfiguration']","['name' 'six' 'subject' 'every' 'hogwarts' 'student' 'be' 'require'
 'study' 'first' 'two' 'year' 'school' 'astronomy' 'charm' 'defense'
 'dark' 'art' 'herbology' 'history' 'magic' 'potion' 'transfiguration']",['name' 'be'],name,18,14,FR,text
200,339,What covers the distinct nettle leaf?,Stinging hairs.,['what' 'cover' 'distinct' 'nettle' 'leaf'],['sting' 'hair'],['what' 'cover' 'distinct' 'nettle' 'leaf' 'sting' 'hair'],['what'],what,6,2,FR,text
201,341,"In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal?",Troy,"['quidditch' 'world' 'cup' 'ireland' 'team' 'have' 'three' 'main' 'chaser'
 'mullet' 'troy' 'moran' 'which' 'one' 'score' 'first' 'goal']",['troy'],"['quidditch' 'world' 'cup' 'ireland' 'team' 'have' 'three' 'main' 'chaser'
 'mullet' 'troy' 'moran' 'which' 'one' 'score' 'first' 'goal']",['have' 'which'],which,22,1,MCQ,text
202,342,What incantation shrinks an object?,Reducio,['what' 'incantation' 'shrink' 'object'],['reducio'],['what' 'incantation' 'shrink' 'object' 'reducio'],['what'],what,5,1,FR,text
203,344,What spell vanishes an object?,Evanesco,['what' 'spell' 'vanish' 'object'],['evanesco'],['what' 'spell' 'vanish' 'object' 'evanesco'],['what'],what,5,1,FR,text
204,345,What is the most powerful truth serum?,Veritaserum,['what' 'be' 'powerful' 'truth' 'serum'],['veritaserum'],['what' 'be' 'powerful' 'truth' 'serum' 'veritaserum'],['what' 'be'],what,7,1,FR,text
205,346,Who is the Head of Ravenclaw House?,Professor Flitwick,['who' 'be' 'head' 'ravenclaw' 'house'],['professor' 'flitwick'],['who' 'be' 'head' 'ravenclaw' 'house' 'professor' 'flitwick'],['who' 'be'],who,7,2,FR,text
206,348,What is an acceptable use of the Orb?,Divining the future,['what' 'be' 'acceptable' 'use' 'orb'],['divine' 'future'],['what' 'be' 'acceptable' 'use' 'orb' 'divine' 'future'],['what' 'be'],what,8,3,FR,text
207,350,Who is the sister of Death Eater Bellatrix Lestrange?,Narcissa Malfoy,['who' 'be' 'sister' 'death' 'eater' 'bellatrix' 'lestrange'],['narcissa' 'malfoy'],"['who' 'be' 'sister' 'death' 'eater' 'bellatrix' 'lestrange' 'narcissa'
 'malfoy']",['who' 'be'],who,9,2,FR,text
208,352,Who kills Dobby?,Bellatrix Lestrange,['who' 'kill' 'dobby'],['bellatrix' 'lestrange'],['who' 'kill' 'dobby' 'bellatrix' 'lestrange'],['who'],who,3,2,FR,text
209,353,What does Hagrid use to channel the pieces of his wand once it's been broken?,A pink umbrella,['what' 'do' 'hagrid' 'use' 'channel' 'piece' 'wand' 'be' 'break'],['pink' 'umbrella'],"['what' 'do' 'hagrid' 'use' 'channel' 'piece' 'wand' 'be' 'break' 'pink'
 'umbrella']",['what' 'do' 'be'],what,16,3,FR,text
210,354,What is the animal symbol of Ravenclaw?,Eagle,['what' 'be' 'animal' 'symbol' 'ravenclaw'],['eagle'],['what' 'be' 'animal' 'symbol' 'ravenclaw' 'eagle'],['what' 'be'],what,7,1,FR,text
212,356,"Snape grilled Harry about this on his first day in Potions. Monkshood and wolfsbane are the same plant, also known as what?",Aconite.,"['snape' 'grill' 'harry' 'first' 'day' 'potion' 'monkshood' 'wolfsbane'
 'be' 'plant' 'also' 'know' 'what']",['aconite'],"['snape' 'grill' 'harry' 'first' 'day' 'potion' 'monkshood' 'wolfsbane'
 'be' 'plant' 'also' 'know' 'what' 'aconite']",['be' 'what'],what,22,1,FR,text
213,357,What's the only all-wizard village in Britain?,Hogsmeade,['what' 'wizard' 'village' 'britain'],['hogsmeade'],['what' 'wizard' 'village' 'britain' 'hogsmeade'],['what'],what,9,1,FR,text
214,359,Pepperup Potion evolved from a remedy created by what 12th century wizard?,Linfred of Stinchcombe,"['pepperup' 'potion' 'evolve' 'remedy' 'create' 'what' '12th' 'century'
 'wizard']",['linfred' 'stinchcombe'],"['pepperup' 'potion' 'evolve' 'remedy' 'create' 'what' '12th' 'century'
 'wizard' 'linfred' 'stinchcombe']",['what'],what,12,3,FR,text
215,360,Who was the Hogwarts headmaster before Albus Dumbledore?,Armando Dippet,['who' 'be' 'hogwarts' 'headmaster' 'albus' 'dumbledore'],['armando' 'dippet'],"['who' 'be' 'hogwarts' 'headmaster' 'albus' 'dumbledore' 'armando'
 'dippet']",['who' 'be'],who,8,2,FR,text
216,361,Scourgify can be used to clean out infestations of what magical creature?,Bundimun,"['scourgify' 'can' 'be' 'use' 'clean' 'infestation' 'what' 'magical'
 'creature']",['bundimun'],"['scourgify' 'can' 'be' 'use' 'clean' 'infestation' 'what' 'magical'
 'creature' 'bundimun']",['can' 'be' 'what'],what,12,1,FR,text
217,363,The Medieval Assembly of European Wizards is related to which convention?,International Warlock Convention,"['medieval' 'assembly' 'european' 'wizard' 'be' 'relate' 'which'
 'convention']",['international' 'warlock' 'convention'],"['medieval' 'assembly' 'european' 'wizard' 'be' 'relate' 'which'
 'convention' 'international' 'warlock']",['be' 'which'],which,11,3,FR,text
218,366,Where are the vaults kept in Gringotts Bank?,Deep underground.,['where' 'be' 'vault' 'keep' 'gringotts' 'bank'],['deep' 'underground'],['where' 'be' 'vault' 'keep' 'gringotts' 'bank' 'deep' 'underground'],['where' 'be'],where,8,2,FR,text
219,367,Which dark magic item is known as the friend of thieves?,Hand of Glory,['which' 'dark' 'magic' 'item' 'be' 'know' 'friend' 'thief'],['hand' 'glory'],['which' 'dark' 'magic' 'item' 'be' 'know' 'friend' 'thief' 'hand' 'glory'],['which' 'be'],which,11,3,FR,text
220,368,Where does Rubeus Hagrid first tell Harry that he’s a wizard?,In a hut on a rock,['where' 'do' 'rubeus' 'hagrid' 'first' 'tell' 'harry' 'wizard'],['hut' 'rock'],"['where' 'do' 'rubeus' 'hagrid' 'first' 'tell' 'harry' 'wizard' 'hut'
 'rock']",['where' 'do'],where,12,6,FR,text
221,371,What dragon did Fleur Delacour face in the first task of the Triwizard Tournament?,Welsh Green,"['what' 'dragon' 'do' 'fleur' 'delacour' 'face' 'first' 'task' 'triwizard'
 'tournament']",['welsh' 'green'],"['what' 'dragon' 'do' 'fleur' 'delacour' 'face' 'first' 'task' 'triwizard'
 'tournament' 'welsh' 'green']",['what' 'do'],what,14,2,FR,text
222,373,What's the term for an object imbued with a fragment of a wizard's soul?,Horcrux,['what' 'term' 'object' 'imbued' 'fragment' 'wizard' 'soul'],['horcrux'],['what' 'term' 'object' 'imbued' 'fragment' 'wizard' 'soul' 'horcrux'],['what'],what,16,1,FR,text
223,374,What is the primary ingredient in Polyjuice potion?,The hair of the person you want to transform into,['what' 'be' 'primary' 'ingredient' 'polyjuice' 'potion'],['hair' 'person' 'want' 'transform'],"['what' 'be' 'primary' 'ingredient' 'polyjuice' 'potion' 'hair' 'person'
 'want' 'transform']",['what' 'be'],what,8,10,FR,text
224,375,Who spoke at Aragog's funeral?,Horace Slughorn,['who' 'speak' 'aragog' 'funeral'],['horace' 'slughorn'],['who' 'speak' 'aragog' 'funeral' 'horace' 'slughorn'],['who'],who,6,2,FR,text
225,381,Where would you look to find a bezoar?,In the stomach of a goat,['where' 'would' 'look' 'find' 'bezoar'],['stomach' 'goat'],['where' 'would' 'look' 'find' 'bezoar' 'stomach' 'goat'],['where' 'would'],where,8,6,FR,text
226,385,Lily Potter once gave Professor Slughorn a bowl with a lily that turned into a goldfish. What was the goldfish’s name?,Francis,"['lily' 'potter' 'give' 'professor' 'slughorn' 'bowl' 'turn' 'goldfish'
 'what' 'be' 'name']",['francis'],"['lily' 'potter' 'give' 'professor' 'slughorn' 'bowl' 'turn' 'goldfish'
 'what' 'be' 'name' 'francis']",['what' 'be' 'name'],what,22,1,FR,text
227,387,What is the name of the librarian at Hogwarts?,Madam Pince,['what' 'be' 'name' 'librarian' 'hogwarts'],['madam' 'pince'],['what' 'be' 'name' 'librarian' 'hogwarts' 'madam' 'pince'],['what' 'be' 'name'],what,9,2,FR,text
228,388,What are the four Hogwarts houses?,"Gryffindor, Ravenclaw, Slytherin, and Hufflepuff.",['what' 'be' 'four' 'hogwarts' 'house'],['gryffindor' 'ravenclaw' 'slytherin' 'hufflepuff'],"['what' 'be' 'four' 'hogwarts' 'house' 'gryffindor' 'ravenclaw'
 'slytherin' 'hufflepuff']",['what' 'be'],what,6,5,FR,text
229,390,What magical plant did Luna Lovegood have growing at home?,Dirigible Plums,['what' 'magical' 'plant' 'do' 'luna' 'lovegood' 'have' 'grow' 'home'],['dirigible' 'plum'],"['what' 'magical' 'plant' 'do' 'luna' 'lovegood' 'have' 'grow' 'home'
 'dirigible' 'plum']",['what' 'do' 'have'],what,10,2,FR,text
230,392,"What do the abbreviations for the two main wizarding exams, O.W.L.s and N.E.W.T.s, stand for?",Ordinary Wizarding Level and Nastily Exhausting Wizarding Test.,['what' 'do' 'abbreviation' 'two' 'main' 'wizarding' 'exams' 'stand'],['ordinary' 'wizarding' 'level' 'nastily' 'exhaust' 'test'],"['what' 'do' 'abbreviation' 'two' 'main' 'wizarding' 'exams' 'stand'
 'ordinary' 'level' 'nastily' 'exhaust' 'test']",['what' 'do'],what,22,8,FR,text
231,394,The Diricawl is actually thought to be which extinct Muggle bird?,The Dodo.,['diricawl' 'be' 'actually' 'think' 'which' 'extinct' 'muggle' 'bird'],['dodo'],"['diricawl' 'be' 'actually' 'think' 'which' 'extinct' 'muggle' 'bird'
 'dodo']",['be' 'which'],which,11,2,FR,text
232,395,"In Book 3, what is Neville Longbottom's greatest fear, revealed upon facing a boggart in Lupin's class?",Professor Snape.,"['book' 'what' 'be' 'neville' 'longbottom' 'great' 'fear' 'reveal' 'upon'
 'face' 'boggart' 'lupin' 'class']",['professor' 'snape'],"['book' 'what' 'be' 'neville' 'longbottom' 'great' 'fear' 'reveal' 'upon'
 'face' 'boggart' 'lupin' 'class' 'professor' 'snape']",['what' 'be'],what,19,2,FR,text
233,396,Who was the House-Eld that once served Barty Crouch Senior?,Winky,['who' 'be' 'house' 'eld' 'serve' 'barty' 'crouch' 'senior'],['winky'],['who' 'be' 'house' 'eld' 'serve' 'barty' 'crouch' 'senior' 'winky'],['who' 'be'],who,11,1,FR,text
234,398,Who is Stan Shunpike?,The conductor of the Knight Bus,['who' 'be' 'stan' 'shunpike'],['conductor' 'knight' 'bus'],['who' 'be' 'stan' 'shunpike' 'conductor' 'knight' 'bus'],['who' 'be'],who,4,6,FR,text
235,399,Nearly Headless Nick is a patron house of which House?,Gryffindor,['nearly' 'headless' 'nick' 'be' 'patron' 'house' 'which'],['gryffindor'],['nearly' 'headless' 'nick' 'be' 'patron' 'house' 'which' 'gryffindor'],['be' 'which'],which,10,1,FR,text
236,400,Where was Harry Potter born?,Godric's Hollow,['where' 'be' 'harry' 'potter' 'bear'],['godric' 'hollow'],['where' 'be' 'harry' 'potter' 'bear' 'godric' 'hollow'],['where' 'be'],where,5,3,FR,text
237,401,What's in a forgetfulness potion?,Lethe Water,['what' 'forgetfulness' 'potion'],['lethe' 'water'],['what' 'forgetfulness' 'potion' 'lethe' 'water'],['what'],what,6,2,FR,text
238,402,What is the name of the magical map that shows the entire layout of Hogwarts?,Marauder's Map,['what' 'be' 'name' 'magical' 'map' 'show' 'entire' 'layout' 'hogwarts'],['marauder' 'map'],"['what' 'be' 'name' 'magical' 'map' 'show' 'entire' 'layout' 'hogwarts'
 'marauder']",['what' 'be' 'name'],what,15,3,FR,text
239,404,What is the name of the three-headed dog guarding the trapdoor in Harry Potter and the Sorcerer's Stone?,Fluffy,"['what' 'be' 'name' 'three' 'head' 'dog' 'guard' 'trapdoor' 'harry'
 'potter' 'sorcerer' 'stone']",['fluffy'],"['what' 'be' 'name' 'three' 'head' 'dog' 'guard' 'trapdoor' 'harry'
 'potter' 'sorcerer' 'stone' 'fluffy']",['what' 'be' 'name'],what,20,1,FR,text
240,406,What does the Drought Charm cause?,Dryness,['what' 'do' 'drought' 'charm' 'cause'],['dryness'],['what' 'do' 'drought' 'charm' 'cause' 'dryness'],['what' 'do'],what,6,1,FR,text
241,407,What magical artefact creates the Elixir of Life?,Philosopher's Stone,['what' 'magical' 'artefact' 'create' 'elixir' 'life'],['philosopher' 'stone'],"['what' 'magical' 'artefact' 'create' 'elixir' 'life' 'philosopher'
 'stone']",['what'],what,8,3,FR,text
242,408,Who is in the first memory Professor Dumbledore shows Harry in the Pensieve?,"Bob Ogden, an employee of the Department of Magical Law Enforcement","['who' 'be' 'first' 'memory' 'professor' 'dumbledore' 'show' 'harry'
 'pensieve']",['bob' 'ogden' 'employee' 'department' 'magical' 'law' 'enforcement'],"['who' 'be' 'first' 'memory' 'professor' 'dumbledore' 'show' 'harry'
 'pensieve' 'bob' 'ogden' 'employee' 'department' 'magical' 'law'
 'enforcement']",['who' 'be'],who,13,11,FR,text
243,410,Where did the Goblin Rebellion of 1612 take place?,Hogsmeade Village,['where' 'do' 'goblin' 'rebellion' '1612' 'take' 'place'],['hogsmeade' 'village'],"['where' 'do' 'goblin' 'rebellion' '1612' 'take' 'place' 'hogsmeade'
 'village']",['where' 'do'],where,9,2,FR,text
244,412,What is Ron's favorite Quidditch team?,Chudley Cannons,['what' 'be' 'ron' 'favorite' 'quidditch' 'team'],['chudley' 'cannon'],['what' 'be' 'ron' 'favorite' 'quidditch' 'team' 'chudley' 'cannon'],['what' 'be'],what,7,2,FR,text
245,414,The visitor’s entrance to the Ministry of Magic is an abandoned red telephone booth in London. What is the five-digit code you must dial to get in?,6-2-4-4-2. (Bonus: This spells M-A-G-I-C on a phone's keypad.),"['visitor' 'entrance' 'ministry' 'magic' 'be' 'abandoned' 'red'
 'telephone' 'booth' 'london' 'what' 'five' 'digit' 'code' 'must' 'dial'
 'get']",['bonus' 'spell' 'phone' 'keypad'],"['visitor' 'entrance' 'ministry' 'magic' 'be' 'abandoned' 'red'
 'telephone' 'booth' 'london' 'what' 'five' 'digit' 'code' 'must' 'dial'
 'get' 'bonus' 'spell' 'phone' 'keypad']",['be' 'what'],what,29,18,FR,text
246,415,Which spell did Hermione use to release the dragon from Gringotts Bank?,Revulsion Jinx,"['which' 'spell' 'do' 'hermione' 'use' 'release' 'dragon' 'gringotts'
 'bank']",['revulsion' 'jinx'],"['which' 'spell' 'do' 'hermione' 'use' 'release' 'dragon' 'gringotts'
 'bank' 'revulsion' 'jinx']",['which' 'do'],which,12,2,FR,text
247,416,What is the incantation for the Disarming Spell?,Expelliarmus,['what' 'be' 'incantation' 'disarming' 'spell'],['expelliarmus'],['what' 'be' 'incantation' 'disarming' 'spell' 'expelliarmus'],['what' 'be'],what,8,1,FR,text
248,418,"When Professor Snape takes over Professor Lupin’s Defense Against the Dark Arts class, which page does he ask the students to turn to?",Page 394 (the page on werewolves),"['when' 'professor' 'snape' 'take' 'lupin' 'defense' 'dark' 'art' 'class'
 'which' 'page' 'do' 'ask' 'student' 'turn']",['page' '394' 'werewolf'],"['when' 'professor' 'snape' 'take' 'lupin' 'defense' 'dark' 'art' 'class'
 'which' 'page' 'do' 'ask' 'student' 'turn' '394' 'werewolf']",['when' 'which' 'do'],when,24,6,FR,text
249,419,Which dry ingredient is used in a wideye potion?,Billywig Sting,['which' 'dry' 'ingredient' 'be' 'use' 'wideye' 'potion'],['billywig' 'sting'],"['which' 'dry' 'ingredient' 'be' 'use' 'wideye' 'potion' 'billywig'
 'sting']",['which' 'be'],which,9,2,FR,text
250,422,What became outlawed after the Warlock's Convention of 1709?,Dragon breeding.,['what' 'become' 'outlaw' 'warlock' 'convention' '1709'],['dragon' 'breeding'],"['what' 'become' 'outlaw' 'warlock' 'convention' '1709' 'dragon'
 'breeding']",['what'],what,10,2,FR,text
251,423,Who is the Herbology professor?,Professor Sprout,['who' 'be' 'herbology' 'professor'],['professor' 'sprout'],['who' 'be' 'herbology' 'professor' 'sprout'],['who' 'be'],who,5,2,FR,text
252,426,What does it mean when a magical creature is classified as X by the Ministry of Magic?,Boring,"['what' 'do' 'mean' 'when' 'magical' 'creature' 'be' 'classify' 'ministry'
 'magic']",['boring'],"['what' 'do' 'mean' 'when' 'magical' 'creature' 'be' 'classify' 'ministry'
 'magic' 'boring']",['what' 'do' 'when' 'be'],what,17,1,FR,text
253,427,Which Wizarding school did Gellert Grindelwald attend?,Durmstrang Institute,['which' 'wizarding' 'school' 'do' 'gellert' 'grindelwald' 'attend'],['durmstrang' 'institute'],"['which' 'wizarding' 'school' 'do' 'gellert' 'grindelwald' 'attend'
 'durmstrang' 'institute']",['which' 'do'],which,7,2,FR,text
254,428,What is the cure for being Petrified?,Mandrake root,['what' 'be' 'cure' 'petrify'],['mandrake' 'root'],['what' 'be' 'cure' 'petrify' 'mandrake' 'root'],['what' 'be'],what,7,2,FR,text
255,429,What is the biggest Quidditch event?,World Cup,['what' 'be' 'big' 'quidditch' 'event'],['world' 'cup'],['what' 'be' 'big' 'quidditch' 'event' 'world' 'cup'],['what' 'be'],what,6,2,FR,text
256,430,What is the Grim?,A spectral dog,['what' 'be' 'grim'],['spectral' 'dog'],['what' 'be' 'grim' 'spectral' 'dog'],['what' 'be'],what,4,3,FR,text
257,431,Colovaria is also known as what?,Colour Change Charm,['colovaria' 'be' 'also' 'know' 'what'],['colour' 'change' 'charm'],['colovaria' 'be' 'also' 'know' 'what' 'colour' 'change' 'charm'],['be' 'what'],what,6,3,FR,text
258,434,Which potion contains Fluxweed?,Polyjuice Potion,['which' 'potion' 'contains' 'fluxweed'],['polyjuice' 'potion'],['which' 'potion' 'contains' 'fluxweed' 'polyjuice'],['which'],which,4,2,FR,text
259,435,What was Gilderoy Lockhart's best Spell?,Obliviate,['what' 'be' 'gilderoy' 'lockhart' 'best' 'spell'],['obliviate'],['what' 'be' 'gilderoy' 'lockhart' 'best' 'spell' 'obliviate'],['what' 'be'],what,7,1,FR,text
260,436,What other name is the Doxy commonly known by?,The Biting Fairy.,['what' 'name' 'be' 'doxy' 'commonly' 'know'],['biting' 'fairy'],['what' 'name' 'be' 'doxy' 'commonly' 'know' 'biting' 'fairy'],['what' 'name' 'be'],what,9,3,FR,text
261,438,Which was the last of Voldemort's Horcruxes to be destroyed?,Nagini,['which' 'be' 'last' 'voldemort' 'horcruxes' 'destroy'],['nagini'],['which' 'be' 'last' 'voldemort' 'horcruxes' 'destroy' 'nagini'],['which' 'be'],which,11,1,FR,text
262,440,What teleportation magic do sixth-years learn at Hogwarts?,Apparition,['what' 'teleportation' 'magic' 'do' 'sixth' 'year' 'learn' 'hogwarts'],['apparition'],"['what' 'teleportation' 'magic' 'do' 'sixth' 'year' 'learn' 'hogwarts'
 'apparition']",['what' 'do'],what,9,1,FR,text
263,441,What effect does diluted Swooping Evil venom have?,Erases bad memories,['what' 'effect' 'do' 'dilute' 'swoop' 'evil' 'venom' 'have'],['erases' 'bad' 'memory'],"['what' 'effect' 'do' 'dilute' 'swoop' 'evil' 'venom' 'have' 'erases'
 'bad' 'memory']",['what' 'do' 'have'],what,8,3,FR,text
264,442,What does the house with the highest score win?,House Cup,['what' 'do' 'house' 'high' 'score' 'win'],['house' 'cup'],['what' 'do' 'house' 'high' 'score' 'win' 'cup'],['what' 'do'],what,9,2,FR,text
265,443,What is Hermione's cat's name?,Crookshanks,['what' 'be' 'hermione' 'cat' 'name'],['crookshanks'],['what' 'be' 'hermione' 'cat' 'name' 'crookshanks'],['what' 'be' 'name'],what,7,1,FR,text
266,444,Who removes all the bones from Harry’s arm?,Gilderoy Lockhart,['who' 'remove' 'bone' 'harry' 'arm'],['gilderoy' 'lockhart'],['who' 'remove' 'bone' 'harry' 'arm' 'gilderoy' 'lockhart'],['who'],who,9,2,FR,text
267,445,Which was my Tonks favourite band?,The Weird Sisters,['which' 'be' 'tonks' 'favourite' 'band'],['weird' 'sister'],['which' 'be' 'tonks' 'favourite' 'band' 'weird' 'sister'],['which' 'be'],which,6,3,FR,text
268,447,What is the name of the Hogwarts poltergeist?,Peeves,['what' 'be' 'name' 'hogwarts' 'poltergeist'],['peeve'],['what' 'be' 'name' 'hogwarts' 'poltergeist' 'peeve'],['what' 'be' 'name'],what,8,1,FR,text
269,449,"In Harry Potter and the Chamber of Secrets, where were Harry, Hermione, and Ron coming from when they found Mrs. Norris petrified?",Nearly Headless Nick's Deathday Party,"['harry' 'potter' 'chamber' 'secret' 'where' 'be' 'hermione' 'ron' 'come'
 'when' 'find' 'mr' 'norris' 'petrify']",['nearly' 'headless' 'nick' 'deathday' 'party'],"['harry' 'potter' 'chamber' 'secret' 'where' 'be' 'hermione' 'ron' 'come'
 'when' 'find' 'mr' 'norris' 'petrify' 'nearly' 'headless' 'nick'
 'deathday' 'party']",['where' 'be' 'when'],where,22,6,FR,text
270,450,What is the Ministry of Magic classification system?,A creature's danger level,['what' 'be' 'ministry' 'magic' 'classification' 'system'],['creature' 'danger' 'level'],"['what' 'be' 'ministry' 'magic' 'classification' 'system' 'creature'
 'danger' 'level']",['what' 'be'],what,8,5,FR,text
271,452,Who invented the Wronski Feint?,Josef Wronski,['who' 'invent' 'wronski' 'feint'],['josef' 'wronski'],['who' 'invent' 'wronski' 'feint' 'josef'],['who'],who,5,2,FR,text
272,453,How should your completed Scintillation Solution look?,Sparkling.,['how' 'should' 'complete' 'scintillation' 'solution' 'look'],['sparkle'],['how' 'should' 'complete' 'scintillation' 'solution' 'look' 'sparkle'],['how' 'should'],how,7,1,EX,text
273,455,Streeler venom is one of the only substances known to kill which invasive species?,Horklump,"['streeler' 'venom' 'be' 'one' 'substance' 'know' 'kill' 'which'
 'invasive' 'specie']",['horklump'],"['streeler' 'venom' 'be' 'one' 'substance' 'know' 'kill' 'which'
 'invasive' 'specie' 'horklump']",['be' 'which'],which,14,1,FR,text
274,456,Who is the Divination professor?,Professor Trelawney,['who' 'be' 'divination' 'professor'],['professor' 'trelawney'],['who' 'be' 'divination' 'professor' 'trelawney'],['who' 'be'],who,5,2,FR,text
275,457,No spell yet devised allows a wizard to what?,Fly unaided,['no' 'spell' 'yet' 'devise' 'allow' 'wizard' 'what'],['fly' 'unaided'],['no' 'spell' 'yet' 'devise' 'allow' 'wizard' 'what' 'fly' 'unaided'],['what'],what,9,2,FR,text
