question,answer,question keywords,answer keywords,combined keywords
What is the name of the powerful and dangerous artifact that Voldemort creates in the Harry Potter series by splitting his soul into seven pieces?,The Horcruxes,"['seven', 'harry', 'soul', 'artifact', 'piece', 'create', 'potter', 'voldemort', 'name', 'split', 'dangerous', 'what', 'series', 'powerful']",['horcruxes'],"['seven', 'harry', 'soul', 'artifact', 'piece', 'create', 'potter', 'voldemort', 'name', 'split', 'dangerous', 'what', 'series', 'powerful', 'horcruxes']"
How many times did Wendelin the Weird allow herself to be caught?,Forty-seven.,"['catch', 'many', 'allow', 'weird', 'how', 'wendelin', 'time']",['fortyseven'],"['catch', 'many', 'allow', 'weird', 'how', 'wendelin', 'time', 'fortyseven']"
What can cause a person's patronus to change?,Major Life Events,"['person', 'patronus', 'what', 'cause', 'change']","['major', 'life', 'event']","['person', 'patronus', 'what', 'cause', 'change', 'major', 'life', 'event']"
Which Quidditch players score goals?,The Chasers,"['which', 'goal', 'score', 'quidditch', 'player']",['chaser'],"['which', 'goal', 'score', 'quidditch', 'player', 'chaser']"
What magical plant allows humans to breathe underwater?,Gillyweed,"['plant', 'underwater', 'magical', 'humans', 'what', 'breathe', 'allows']",['gillyweed'],"['plant', 'underwater', 'magical', 'humans', 'what', 'breathe', 'allows', 'gillyweed']"
How do you tell if a door is Imperturbable?,Chuck stuff at it,"['how', 'imperturbable', 'door', 'tell']","['chuck', 'stuff']","['how', 'imperturbable', 'door', 'tell', 'chuck', 'stuff']"
Who does Harry take to the Yule Ball?,Parvati Patil,"['harry', 'who', 'ball', 'yule', 'take']","['patil', 'parvati']","['harry', 'who', 'ball', 'yule', 'take', 'patil', 'parvati']"
In which situation would the Blackboard Writing Spell be useful?,Summarising a lecture,"['situation', 'which', 'spell', 'useful', 'write', 'blackboard', 'would']","['lecture', 'summarise']","['situation', 'which', 'spell', 'useful', 'write', 'blackboard', 'would', 'lecture', 'summarise']"
"In 1997, what was written on the statue at the Ministry of Magic under Voldemort's control?",Magic is Might,"['control', 'write', 'statue', 'magic', 'what', 'voldemorts', 'ministry']","['magic', 'might']","['control', 'write', 'statue', 'magic', 'what', 'voldemorts', 'ministry', 'magic', 'might']"
When is Neville's birthday?,July 30,"['nevilles', 'birthday', 'when']",['july'],"['nevilles', 'birthday', 'when', 'july']"
Where could you buy broomsticks?,Quality Quidditch Supplies,"['buy', 'where', 'could', 'broomstick']","['quality', 'quidditch', 'supply']","['buy', 'where', 'could', 'broomstick', 'quality', 'quidditch', 'supply']"
What does the Sorcerer's Stone do?,"It produces the Elixir of Life, granting immortality, and can turn any metal into pure gold.","['stone', 'sorcerers', 'what']","['life', 'metal', 'gold', 'immortality', 'turn', 'produce', 'elixir', 'pure', 'grant']","['stone', 'sorcerers', 'what', 'life', 'metal', 'gold', 'immortality', 'turn', 'produce', 'elixir', 'pure', 'grant']"
Which creatures guard wand-making trees?,Bowtruckles,"['creatures', 'which', 'tree', 'guard', 'wandmaking']",['bowtruckles'],"['creatures', 'which', 'tree', 'guard', 'wandmaking', 'bowtruckles']"
Screechsnaps are capable of doing which of the following?,Move & Make Noise,"['which', 'follow', 'screechsnaps', 'capable']","['noise', 'move', 'make']","['which', 'follow', 'screechsnaps', 'capable', 'noise', 'move', 'make']"
"Monkshood and wolfsbane are the same plant, also known as what?",Aconite,"['plant', 'also', 'monkshood', 'what', 'wolfsbane', 'know']",['aconite'],"['plant', 'also', 'monkshood', 'what', 'wolfsbane', 'know', 'aconite']"
Who is the Half-Blood Prince?,Severus Snape,"['who', 'prince', 'halfblood']","['snape', 'severus']","['who', 'prince', 'halfblood', 'snape', 'severus']"
How did Fred and George get the money to open their shop?,They won a bet on the Quidditch World Cup,"['shop', 'george', 'get', 'how', 'fred', 'open', 'money']","['bet', 'world', 'quidditch', 'cup']","['shop', 'george', 'get', 'how', 'fred', 'open', 'money', 'bet', 'world', 'quidditch', 'cup']"
Who did Harry overhear in the Three Broomsticks talking about how Sirius Black betrayed his parents?,"Professor Flitwick, Professor McGonagall, Hagrid, Cornelius Fudge and Madam Rosmerta","['overhear', 'harry', 'betrayed', 'talk', 'who', 'broomstick', 'how', 'parent', 'sirius', 'black', 'three']","['mcgonagall', 'flitwick', 'professor', 'rosmerta', 'fudge', 'hagrid', 'cornelius', 'madam']","['overhear', 'harry', 'betrayed', 'talk', 'who', 'broomstick', 'how', 'parent', 'sirius', 'black', 'three', 'mcgonagall', 'flitwick', 'professor', 'rosmerta', 'fudge', 'hagrid', 'cornelius', 'madam']"
Which of these titles or identities has not been held by Harry Potter?,SPEW Treasurer,"['which', 'harry', 'title', 'potter', 'hold', 'identity']","['treasurer', 'spew']","['which', 'harry', 'title', 'potter', 'hold', 'identity', 'treasurer', 'spew']"
How many Knuts equal one Sickle?,29,"['many', 'one', 'sickle', 'equal', 'how', 'knut']",[],"['many', 'one', 'sickle', 'equal', 'how', 'knut']"
What is the incantation for the snake-vanishing spell?,Vipera Evanesca.,"['incantation', 'snakevanishing', 'spell', 'what']","['vipera', 'evanesca']","['incantation', 'snakevanishing', 'spell', 'what', 'vipera', 'evanesca']"
How many points is a goal worth?,Ten,"['many', 'goal', 'how', 'point', 'worth']",['ten'],"['many', 'goal', 'how', 'point', 'worth', 'ten']"
"In the epilogue to the book, who says, “Don’t let it worry you. It’s me, I’m extremely famous.”",Ron Weasley,"['let', 'book', 'epilogue', 'who', 'dont', 'im', 'extremely', 'say', 'famous', 'worry']","['ron', 'weasley']","['let', 'book', 'epilogue', 'who', 'dont', 'im', 'extremely', 'say', 'famous', 'worry', 'ron', 'weasley']"
What does Harry steal from Dolores Umbridge’s office in the Ministry of Magic?,Mad-Eye Moody’s magical eyeball,"['dolores', 'harry', 'office', 'umbridges', 'magic', 'what', 'steal', 'ministry']","['moodys', 'madeye', 'eyeball', 'magical']","['dolores', 'harry', 'office', 'umbridges', 'magic', 'what', 'steal', 'ministry', 'moodys', 'madeye', 'eyeball', 'magical']"
Who is the History of Magic Professor?,Professor Binns,"['who', 'history', 'professor', 'magic']","['professor', 'binns']","['who', 'history', 'professor', 'magic', 'professor', 'binns']"
What is the name of Fleur Delacour and Bill Weasley’s house?,Shell Cottage,"['delacour', 'house', 'what', 'weasleys', 'fleur', 'bill', 'name']","['shell', 'cottage']","['delacour', 'house', 'what', 'weasleys', 'fleur', 'bill', 'name', 'shell', 'cottage']"
Who among the following served as a Hufflepuff Prefect?,Ernie Macmillan,"['prefect', 'hufflepuff', 'who', 'serve', 'follow', 'among']","['ernie', 'macmillan']","['prefect', 'hufflepuff', 'who', 'serve', 'follow', 'among', 'ernie', 'macmillan']"
What does the Potion for Dreamless Sleep induce?,Drowsiness.,"['potion', 'what', 'sleep', 'dreamless', 'induce']",['drowsiness'],"['potion', 'what', 'sleep', 'dreamless', 'induce', 'drowsiness']"
Who kidnapped Mad-Eye Moody just before the Twiwizard Tounament?,Bartemius Crouch Junior,"['kidnap', 'madeye', 'who', 'tounament', 'moody', 'twiwizard']","['bartemius', 'crouch', 'junior']","['kidnap', 'madeye', 'who', 'tounament', 'moody', 'twiwizard', 'bartemius', 'crouch', 'junior']"
When do Puffskeins hum?,When they're content.,"['puffskeins', 'hum', 'when']","['content', 'theyre', 'when']","['puffskeins', 'hum', 'when', 'content', 'theyre', 'when']"
What's one form of Hex-Deflection?,Salvio Hexia,"['form', 'one', 'whats', 'hexdeflection']","['hexia', 'salvio']","['form', 'one', 'whats', 'hexdeflection', 'hexia', 'salvio']"
Who of the following was not a classmate of Harry Potter?,Fleur Delacour,"['harry', 'potter', 'classmate', 'who', 'follow']","['delacour', 'fleur']","['harry', 'potter', 'classmate', 'who', 'follow', 'delacour', 'fleur']"
Where are the highest quality Shrivelfigs grown?,Abyssinia,"['high', 'grow', 'quality', 'where', 'shrivelfigs']",['abyssinia'],"['high', 'grow', 'quality', 'where', 'shrivelfigs', 'abyssinia']"
Which of the Hogwarts ghosts is Peeves afraid of?,The Bloody Baron,"['which', 'hogwarts', 'ghost', 'afraid', 'peeve']","['baron', 'bloody']","['which', 'hogwarts', 'ghost', 'afraid', 'peeve', 'baron', 'bloody']"
Who is the flying instructor?,Madam Hooch,"['fly', 'who', 'instructor']","['hooch', 'madam']","['fly', 'who', 'instructor', 'hooch', 'madam']"
What are the colors of Ravenclaw?,Blue and bronze,"['ravenclaw', 'color', 'what']","['blue', 'bronze']","['ravenclaw', 'color', 'what', 'blue', 'bronze']"
What did Wendelin do to make sure she wasn't recognized?,Wore disguises.,"['sure', 'wasnt', 'make', 'recognize', 'what', 'wendelin']","['disguise', 'wore']","['sure', 'wasnt', 'make', 'recognize', 'what', 'wendelin', 'disguise', 'wore']"
Where can Knotgrass be found?,The Forbidden Forest,"['find', 'where', 'knotgrass']","['forest', 'forbidden']","['find', 'where', 'knotgrass', 'forest', 'forbidden']"
Which of Voldemort’s Horcruxes do Harry and Dumbledore track down—but it turns out to be a fake?,Slytherin’s locket,"['fake', 'which', 'harry', 'track', 'downbut', 'turn', 'dumbledore', 'horcruxes', 'voldemorts']","['locket', 'slytherins']","['fake', 'which', 'harry', 'track', 'downbut', 'turn', 'dumbledore', 'horcruxes', 'voldemorts', 'locket', 'slytherins']"
"In Harry Potter and the Prisoner of Azkaban, where is the secret passage from Hogwarts to Honeydukes hidden?",Beneath the statue of the one-eyed witch,"['passage', 'harry', 'honeydukes', 'potter', 'where', 'secret', 'hide', 'prisoner', 'azkaban', 'hogwarts']","['beneath', 'witch', 'oneeyed', 'statue']","['passage', 'harry', 'honeydukes', 'potter', 'where', 'secret', 'hide', 'prisoner', 'azkaban', 'hogwarts', 'beneath', 'witch', 'oneeyed', 'statue']"
Mimbulus mimbletonia secretes what substance?,Stinksap,"['mimbulus', 'secrete', 'what', 'mimbletonia', 'substance']",['stinksap'],"['mimbulus', 'secrete', 'what', 'mimbletonia', 'substance', 'stinksap']"
What does Charlie Weasley do for a living after graduation?,Study dragons,"['graduation', 'charlie', 'weasley', 'living', 'what']","['study', 'dragon']","['graduation', 'charlie', 'weasley', 'living', 'what', 'study', 'dragon']"
What kind of wood is Harry's first wand made out of?,Holly,"['wand', 'wood', 'make', 'first', 'harrys', 'kind', 'what']",['holly'],"['wand', 'wood', 'make', 'first', 'harrys', 'kind', 'what', 'holly']"
Harry discovers he’s one of Voldemort’s seven Horcruxes. What are the others?,"Tom Riddle’s Diary, Nagini, the giant ring, the Hufflepuff cup, Slytherin Locket, and Ravenclaw diadem.","['harry', 'discovers', 'one', 'hes', 'others', 'what', 'seven', 'horcruxes', 'voldemorts']","['diadem', 'hufflepuff', 'ravenclaw', 'tom', 'diary', 'cup', 'ring', 'slytherin', 'riddle', 'giant', 'locket', 'nagini']","['harry', 'discovers', 'one', 'hes', 'others', 'what', 'seven', 'horcruxes', 'voldemorts', 'diadem', 'hufflepuff', 'ravenclaw', 'tom', 'diary', 'cup', 'ring', 'slytherin', 'riddle', 'giant', 'locket', 'nagini']"
Thestrals are mistakenly considered to be omens of what?,Misfortune.,"['mistakenly', 'omens', 'thestrals', 'what', 'consider']",['misfortune'],"['mistakenly', 'omens', 'thestrals', 'what', 'consider', 'misfortune']"
What is the name of the magical hospital?,St. Mungo's Hospital for Magical Maladies and Injuries.,"['magical', 'hospital', 'name', 'what']","['malady', 'mungos', 'magical', 'hospital', 'injury', 'st']","['magical', 'hospital', 'name', 'what', 'malady', 'mungos', 'magical', 'hospital', 'injury', 'st']"
What is the name of Harry's owl?,Hedwig,"['owl', 'harrys', 'name', 'what']",['hedwig'],"['owl', 'harrys', 'name', 'what', 'hedwig']"
Which Quidditch players fend off the Bludgers?,The Beaters,"['which', 'quidditch', 'bludgers', 'fend', 'player']",['beater'],"['which', 'quidditch', 'bludgers', 'fend', 'player', 'beater']"
How many staircases does Hogwarts have?,142,"['how', 'staircase', 'many', 'hogwarts']",[],"['how', 'staircase', 'many', 'hogwarts']"
What was the point of this lesson?,Fine tune your skills,"['lesson', 'point', 'what']","['skill', 'tune', 'fine']","['lesson', 'point', 'what', 'skill', 'tune', 'fine']"
How many presents did Dudley Dursley receive on his birthday in total?,"38. It was 36 (one less than last year), but then Mrs. Dursley bought him two new presents to make up for it.","['many', 'birthday', 'receive', 'present', 'total', 'how', 'dudley', 'dursley']","['new', 'two', 'last', 'one', 'make', 'present', 'buy', 'mrs', 'less', 'dursley', 'year']","['many', 'birthday', 'receive', 'present', 'total', 'how', 'dudley', 'dursley', 'new', 'two', 'last', 'one', 'make', 'present', 'buy', 'mrs', 'less', 'dursley', 'year']"
Which of the following was not a breed of Dragon faced by the Triwizard Tournament Champions?,Norwegian Ridgeback,"['breed', 'which', 'face', 'triwizard', 'champion', 'follow', 'tournament', 'dragon']","['norwegian', 'ridgeback']","['breed', 'which', 'face', 'triwizard', 'champion', 'follow', 'tournament', 'dragon', 'norwegian', 'ridgeback']"
Who wrote the book Curses and Counter-Curses?,Viridian,"['book', 'who', 'write', 'countercurses', 'curse']",['viridian'],"['book', 'who', 'write', 'countercurses', 'curse', 'viridian']"
In what capacity did the Sardinian sorcerers attend the Convention?,Sub-Committee,"['sorcerer', 'sardinian', 'capacity', 'attend', 'what', 'convention']",['subcommittee'],"['sorcerer', 'sardinian', 'capacity', 'attend', 'what', 'convention', 'subcommittee']"
How did Harry first arrive (and ultimately depart from)the Dursley's house on 4 Privet Drive?,Flying Motorobike,"['harry', 'depart', 'ultimately', 'privet', 'house', 'dursleys', 'first', 'drive', 'fromthe', 'how', 'arrive']","['fly', 'motorobike']","['harry', 'depart', 'ultimately', 'privet', 'house', 'dursleys', 'first', 'drive', 'fromthe', 'how', 'arrive', 'fly', 'motorobike']"
"When stirring a Wiggenweld Potion, how many times will the solution change color during the stirring process?",Several,"['stir', 'wiggenweld', 'many', 'potion', 'change', 'when', 'process', 'how', 'stirring', 'color', 'time', 'solution']",['several'],"['stir', 'wiggenweld', 'many', 'potion', 'change', 'when', 'process', 'how', 'stirring', 'color', 'time', 'solution', 'several']"
Which incantation cancels all spell effects?,Finite Incantatem,"['which', 'spell', 'effect', 'cancel', 'incantation']","['finite', 'incantatem']","['which', 'spell', 'effect', 'cancel', 'incantation', 'finite', 'incantatem']"
In what year did the Gargoyle Strike take place?,1911,"['place', 'take', 'what', 'gargoyle', 'strike', 'year']",[],"['place', 'take', 'what', 'gargoyle', 'strike', 'year']"
"What was connected by the Floo Network, creating a mode of transportation for Witches and Wizards?",Fireplaces,"['wizard', 'create', 'network', 'connect', 'mode', 'witch', 'what', 'transportation', 'floo']",['fireplace'],"['wizard', 'create', 'network', 'connect', 'mode', 'witch', 'what', 'transportation', 'floo', 'fireplace']"
What is a group of Bowtruckles called?,Branch,"['bowtruckles', 'call', 'group', 'what']",['branch'],"['bowtruckles', 'call', 'group', 'what', 'branch']"
Who was the original owner of the locket Horcrux?,Salazar Slytherin,"['who', 'horcrux', 'original', 'locket', 'owner']","['slytherin', 'salazar']","['who', 'horcrux', 'original', 'locket', 'owner', 'slytherin', 'salazar']"
What name was Harry Potter using when he was captured at Malfoy Manor by the Death Eaters?,Vernon Dudley,"['harry', 'death', 'potter', 'eater', 'manor', 'when', 'capture', 'malfoy', 'use', 'what', 'name']","['dudley', 'vernon']","['harry', 'death', 'potter', 'eater', 'manor', 'when', 'capture', 'malfoy', 'use', 'what', 'name', 'dudley', 'vernon']"
Which of these creatures' blood will keep a human alive?,Unicorn,"['creatures', 'which', 'keep', 'blood', 'human', 'alive']",['unicorn'],"['creatures', 'which', 'keep', 'blood', 'human', 'alive', 'unicorn']"
What am I most known for?,My Partially Severed Neck,"['know', 'what']","['sever', 'partially', 'neck']","['know', 'what', 'sever', 'partially', 'neck']"
Which pub in London conceals the entrance to Diagon Alley?,The Leaky Cauldron,"['which', 'diagon', 'alley', 'entrance', 'london', 'pub', 'conceals']","['leaky', 'cauldron']","['which', 'diagon', 'alley', 'entrance', 'london', 'pub', 'conceals', 'leaky', 'cauldron']"
Do you know what potion is effective against Banshees?,The Laughing Potion,"['potion', 'banshee', 'effective', 'what', 'know']","['potion', 'laugh']","['potion', 'banshee', 'effective', 'what', 'know', 'potion', 'laugh']"
What do Dark Spells require in order to be successful?,Malicious Intent,"['require', 'spell', 'order', 'successful', 'what', 'dark']","['malicious', 'intent']","['require', 'spell', 'order', 'successful', 'what', 'dark', 'malicious', 'intent']"
What are meteor showers usually named after?,Constellations.,"['usually', 'what', 'meteor', 'name', 'shower']",['constellation'],"['usually', 'what', 'meteor', 'name', 'shower', 'constellation']"
Who discovered the 12 uses for dragon blood?,Professor Dumbledore,"['blood', 'us', 'who', 'discover', 'dragon']","['professor', 'dumbledore']","['blood', 'us', 'who', 'discover', 'dragon', 'professor', 'dumbledore']"
How many Lionfish Spines are used in one batch of Herbicide Potion?,Four,"['spine', 'many', 'potion', 'one', 'lionfish', 'batch', 'herbicide', 'how', 'use']",['four'],"['spine', 'many', 'potion', 'one', 'lionfish', 'batch', 'herbicide', 'how', 'use', 'four']"
Which Quidditch ball is equipped with the Gripping Charm?,Quaffle,"['which', 'grip', 'equip', 'charm', 'ball', 'quidditch']",['quaffle'],"['which', 'grip', 'equip', 'charm', 'ball', 'quidditch', 'quaffle']"
Name the six subjects every Hogwarts student is required to study during their first two years of school.,"Astronomy, Charms, Defense Against the Dark Arts, Herbology, History of Magic, Potions, and Transfiguration.","['require', 'school', 'year', 'first', 'six', 'student', 'every', 'subject', 'study', 'two', 'name', 'hogwarts']","['astronomy', 'potion', 'transfiguration', 'art', 'defense', 'charm', 'magic', 'herbology', 'history', 'dark']","['require', 'school', 'year', 'first', 'six', 'student', 'every', 'subject', 'study', 'two', 'name', 'hogwarts', 'astronomy', 'potion', 'transfiguration', 'art', 'defense', 'charm', 'magic', 'herbology', 'history', 'dark']"
"What kind of pet does Harry own, and what is her name?",An owl named Hedwig.,"['harry', 'pet', 'kind', 'what', 'name']","['hedwig', 'owl', 'name']","['harry', 'pet', 'kind', 'what', 'name', 'hedwig', 'owl', 'name']"
What covers the distinct nettle leaf?,Stinging hairs.,"['cover', 'distinct', 'leaf', 'what', 'nettle']","['sting', 'hair']","['cover', 'distinct', 'leaf', 'what', 'nettle', 'sting', 'hair']"
Do you know what kind of creature a Boggart is? Because I [Merula] do.,Non-being,"['boggart', 'kind', 'merula', 'what', 'creature', 'know']",['nonbeing'],"['boggart', 'kind', 'merula', 'what', 'creature', 'know', 'nonbeing']"
"In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal?",Troy,"['team', 'which', 'main', 'one', 'moran', 'mullet', 'first', 'chaser', 'goal', 'score', 'irelands', 'troy', 'world', 'quidditch', 'three', 'cup']",['troy'],"['team', 'which', 'main', 'one', 'moran', 'mullet', 'first', 'chaser', 'goal', 'score', 'irelands', 'troy', 'world', 'quidditch', 'three', 'cup', 'troy']"
What incantation shrinks an object?,Reducio,"['incantation', 'object', 'shrink', 'what']",['reducio'],"['incantation', 'object', 'shrink', 'what', 'reducio']"
Who is the Divination Professor?,Professor Trelawney,"['divination', 'who', 'professor']","['professor', 'trelawney']","['divination', 'who', 'professor', 'professor', 'trelawney']"
What spell vanishes an object?,Evanesco,"['spell', 'object', 'vanishes', 'what']",['evanesco'],"['spell', 'object', 'vanishes', 'what', 'evanesco']"
What is the most powerful truth serum?,Veritaserum,"['serum', 'truth', 'powerful', 'what']",['veritaserum'],"['serum', 'truth', 'powerful', 'what', 'veritaserum']"
Who is the Head of Ravenclaw House?,Professor Flitwick,"['ravenclaw', 'who', 'head', 'house']","['professor', 'flitwick']","['ravenclaw', 'who', 'head', 'house', 'professor', 'flitwick']"
"If one wished to increase the effect of the Bombarda spell, which incantation would you use?",Bombarda Maxima,"['spell', 'which', 'one', 'increase', 'effect', 'wished', 'use', 'bombarda', 'incantation', 'would']","['bombarda', 'maximum']","['spell', 'which', 'one', 'increase', 'effect', 'wished', 'use', 'bombarda', 'incantation', 'would', 'bombarda', 'maximum']"
What is an acceptable use of the Orb?,Divining the future,"['acceptable', 'orb', 'use', 'what']","['divine', 'future']","['acceptable', 'orb', 'use', 'what', 'divine', 'future']"
What type of Ghoul is capable of disguising itself?,Chameleon Ghouls,"['type', 'ghoul', 'disguising', 'capable', 'what']","['chameleon', 'ghoul']","['type', 'ghoul', 'disguising', 'capable', 'what', 'chameleon', 'ghoul']"
Who is the sister of Death Eater Bellatrix Lestrange?,Narcissa Malfoy,"['death', 'eater', 'who', 'bellatrix', 'lestrange', 'sister']","['narcissa', 'malfoy']","['death', 'eater', 'who', 'bellatrix', 'lestrange', 'sister', 'narcissa', 'malfoy']"
Which is NOT a reason for a wizard to remain on earth as a ghost?,Hunger,"['remain', 'which', 'wizard', 'reason', 'ghost', 'earth']",['hunger'],"['remain', 'which', 'wizard', 'reason', 'ghost', 'earth', 'hunger']"
Who kills Dobby?,Bellatrix Lestrange,"['who', 'dobby', 'kill']","['lestrange', 'bellatrix']","['who', 'dobby', 'kill', 'lestrange', 'bellatrix']"
What does Hagrid use to channel the pieces of his wand once it's been broken?,A pink umbrella,"['channel', 'piece', 'wand', 'use', 'broken', 'what', 'hagrid']","['umbrella', 'pink']","['channel', 'piece', 'wand', 'use', 'broken', 'what', 'hagrid', 'umbrella', 'pink']"
What is the animal symbol of Ravenclaw?,Eagle,"['symbol', 'animal', 'ravenclaw', 'what']",['eagle'],"['symbol', 'animal', 'ravenclaw', 'what', 'eagle']"
True or false: Harry Potter and the Deathly Hallows: Part Two is the shortest Harry Potter movie.,True! The run time is just 130 minutes.,"['harry', 'potter', 'shortest', 'movie', 'hallows', 'part', 'deathly', 'true', 'false', 'two']","['run', 'time', 'true', 'minute']","['harry', 'potter', 'shortest', 'movie', 'hallows', 'part', 'deathly', 'true', 'false', 'two', 'run', 'time', 'true', 'minute']"
"Snape grilled Harry about this on his first day in Potions. Monkshood and wolfsbane are the same plant, also known as what?",Aconite.,"['harry', 'plant', 'snape', 'potion', 'day', 'also', 'first', 'monkshood', 'what', 'wolfsbane', 'know', 'grill']",['aconite'],"['harry', 'plant', 'snape', 'potion', 'day', 'also', 'first', 'monkshood', 'what', 'wolfsbane', 'know', 'grill', 'aconite']"
What's the only all-wizard village in Britain?,Hogsmeade,"['allwizard', 'village', 'whats', 'britain']",['hogsmeade'],"['allwizard', 'village', 'whats', 'britain', 'hogsmeade']"
"Oy, you'll be sure to remember this one. During our first day of Herbology class, what creature took the form of a werewolf and gave Penny Haywood a scare?",Boggart,"['oy', 'sure', 'give', 'one', 'haywood', 'day', 'youll', 'first', 'form', 'werewolf', 'remember', 'class', 'herbology', 'creature', 'what', 'penny', 'scare', 'take']",['boggart'],"['oy', 'sure', 'give', 'one', 'haywood', 'day', 'youll', 'first', 'form', 'werewolf', 'remember', 'class', 'herbology', 'creature', 'what', 'penny', 'scare', 'take', 'boggart']"
Pepperup Potion evolved from a remedy created by what 12th century wizard?,Linfred of Stinchcombe,"['potion', 'remedy', 'create', 'wizard', 'pepperup', 'century', 'what', 'evolve', 'th']","['linfred', 'stinchcombe']","['potion', 'remedy', 'create', 'wizard', 'pepperup', 'century', 'what', 'evolve', 'th', 'linfred', 'stinchcombe']"
Who was the Hogwarts headmaster before Albus Dumbledore?,Armando Dippet,"['who', 'headmaster', 'dumbledore', 'albus', 'hogwarts']","['dippet', 'armando']","['who', 'headmaster', 'dumbledore', 'albus', 'hogwarts', 'dippet', 'armando']"
Scourgify can be used to clean out infestations of what magical creature?,Bundimun,"['infestation', 'magical', 'creature', 'use', 'what', 'scourgify', 'clean']",['bundimun'],"['infestation', 'magical', 'creature', 'use', 'what', 'scourgify', 'clean', 'bundimun']"
Where was Harry born?,Godric's Hollow,"['where', 'harry', 'bear']","['hollow', 'godrics']","['where', 'harry', 'bear', 'hollow', 'godrics']"
The Medieval Assembly of European Wizards is related to which convention?,International Warlock Convention,"['which', 'wizard', 'medieval', 'assembly', 'relate', 'convention', 'european']","['warlock', 'convention', 'international']","['which', 'wizard', 'medieval', 'assembly', 'relate', 'convention', 'european', 'warlock', 'convention', 'international']"
Which spell does the Cleaning Charm most resemble?,Scouring Charm,"['which', 'spell', 'resemble', 'charm', 'clean']","['scour', 'charm']","['which', 'spell', 'resemble', 'charm', 'clean', 'scour', 'charm']"
Why did students think Harry was the Heir of Slytherin?,He can speak Parseltongue.,"['harry', 'why', 'heir', 'student', 'slytherin', 'think']","['parseltongue', 'speak']","['harry', 'why', 'heir', 'student', 'slytherin', 'think', 'parseltongue', 'speak']"
Where are the vaults kept in Gringotts Bank?,Deep underground.,"['gringotts', 'keep', 'vault', 'where', 'bank']","['deep', 'underground']","['gringotts', 'keep', 'vault', 'where', 'bank', 'deep', 'underground']"
Which dark magic item is known as the friend of thieves?,Hand of Glory,"['which', 'thief', 'friend', 'magic', 'item', 'know', 'dark']","['glory', 'hand']","['which', 'thief', 'friend', 'magic', 'item', 'know', 'dark', 'glory', 'hand']"
Where does Rubeus Hagrid first tell Harry that he’s a wizard?,In a hut on a rock,"['harry', 'wizard', 'where', 'first', 'he', 'tell', 'hagrid', 'rubeus']","['rock', 'hut']","['harry', 'wizard', 'where', 'first', 'he', 'tell', 'hagrid', 'rubeus', 'rock', 'hut']"
How does one ward off a Dementor?,The Patronus Charm.,"['how', 'dementor', 'one', 'ward']","['charm', 'patronus']","['how', 'dementor', 'one', 'ward', 'charm', 'patronus']"
What charm can repel a Lethiford?,Patronus Charm,"['repel', 'lethiford', 'charm', 'what']","['charm', 'patronus']","['repel', 'lethiford', 'charm', 'what', 'charm', 'patronus']"
What dragon did Fleur Delacour face in the first task of the Triwizard Tournament?,Welsh Green,"['task', 'delacour', 'face', 'triwizard', 'first', 'fleur', 'what', 'tournament', 'dragon']","['welsh', 'green']","['task', 'delacour', 'face', 'triwizard', 'first', 'fleur', 'what', 'tournament', 'dragon', 'welsh', 'green']"
What is an animagus?,A person with an animal form,"['animagus', 'what']","['animal', 'form', 'person']","['animagus', 'what', 'animal', 'form', 'person']"
What's the term for an object imbued with a fragment of a wizard's soul?,Horcrux,"['imbue', 'term', 'soul', 'wizard', 'object', 'whats', 'fragment']",['horcrux'],"['imbue', 'term', 'soul', 'wizard', 'object', 'whats', 'fragment', 'horcrux']"
What is the primary ingredient in Polyjuice potion?,The hair of the person you want to transform into,"['ingredient', 'potion', 'primary', 'polyjuice', 'what']","['hair', 'want', 'person', 'transform']","['ingredient', 'potion', 'primary', 'polyjuice', 'what', 'hair', 'want', 'person', 'transform']"
Who spoke at Aragog's funeral?,Horace Slughorn,"['speak', 'who', 'funeral', 'aragogs']","['slughorn', 'horace']","['speak', 'who', 'funeral', 'aragogs', 'slughorn', 'horace']"
Who is the ghost of Slytherin House?,The Bloody Baron,"['who', 'ghost', 'slytherin', 'house']","['baron', 'bloody']","['who', 'ghost', 'slytherin', 'house', 'baron', 'bloody']"
Which potion should you all be required to drink before entering my potion?,Wit-Sharpening Potion,"['require', 'which', 'potion', 'enter', 'drink']","['witsharpening', 'potion']","['require', 'which', 'potion', 'enter', 'drink', 'witsharpening', 'potion']"
Which of the following is NOT a type of Dark Magic?,Charm,"['which', 'type', 'follow', 'magic', 'dark']",['charm'],"['which', 'type', 'follow', 'magic', 'dark', 'charm']"
"After Draco insults Hermione, Ron cast a spell that backfired. What did he intend for Draco to eat?",Slugs,"['spell', 'hermione', 'cast', 'intend', 'backfire', 'eat', 'ron', 'insult', 'what', 'draco']",['slug'],"['spell', 'hermione', 'cast', 'intend', 'backfire', 'eat', 'ron', 'insult', 'what', 'draco', 'slug']"
Where's one place you would not find any gnomes?,Antarctica,"['place', 'one', 'wheres', 'find', 'gnome', 'would']",['antarctica'],"['place', 'one', 'wheres', 'find', 'gnome', 'would', 'antarctica']"
