question,answer
Which is NOT another form of magical transportation?,Mop Flying
What is Hermione’s patronus?,An otter
Who lied to Voldemort during the final battle by proclaiming that Harry Potter was dead?,Narcissa Malfoy
How many siblings does Ron Weasley have?,Six
What is a non-side effect of Elixir to induce Euphoria?,Excessive sweating
Where is Ovomancy thought to originate?,Ancient Greece
What does Veritaserum taste like?,It has no taste at all.
What did Xenophilius Lovegood believe Billywig wings could induce?,An elevated frame of mind.
"What spell does Harry discover written in the Half-Blood Prince's potions textbook in Book 6, and who invented it?","Sectumsempra, Severus Snape."
What fluffy creature hums when it's happy and likes to stick its tongue up Wizards' noses?,Puffskein
What are the three D’s of a successful Apparition?,"Destination, determination and deliberation"
Which spell has the opposite effect of Lumos?,Nox
Which of these spells keeps a charm stable?,Fianto Duri
How did Mad-Eye Moody punish Draco Malfoy for trying to Hex Harry?,He turned Draco into a ferret.
What creature did the Wizards’ Council make a protected species?,Golden Snidget.
Who is the headmaster of Hogwarts during Harry's time there?,Albus Dumbledore
"According to Hagrid, which is the safest place in the Wizarding World other than Hogwarts?",Gringotts
When did the Witch Trials of 1692 take place?,Salem
"Where do I- I mean, where does Tonks like to hide Jelly Slugs?",Herbology Pots
"According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions.",Long hair
What is the last line of the last book?,“All was well.”
What spell transforms an object into a Portkey?,Portus
Casting Fumos creates what kind of defensive cloud?,Smoke
What will help you whilst attempting Strong Braking?,A firm grip.
What's Nearly Headless Nick's real name?,Nicholas de Mimsy-Porpington
What charm silences an opponent?,Silencio
Which of these spells can summon an object?,Accio
Fill in the blank: Petrificus Totalus is the incantation for the Full Body-Bind curse.,Bind (Got this in the Petrificus Totalus lesson.)
What is the first line of the book?,"“Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.”"
Who did not compete in the Triwizard Tournament?,Fred
What did the Wizards' Council sign into action in 1692?,International Statute of Wizarding Secrecy
What two creatures are Hippogriffs a mix of?,Horses and eagles
What is the name of the magical creature that can only be seen by those who have witnessed death?,Thestral
What job does Luna Lovegood's father hold?,"Editor of ""The Quibbler"""
What is Nearly Headless Nick's full name?,Nicholas de Mimsy-Porpington
Who is the matron of the orphanage where Voldemort grows up?,Mrs. Cole
What tail did Hagrid make Dudley grow because the Dursleys were rude?,Pig tail
How many staircases are at Hogwarts?,142
How many students sleep in each Hogwarts dormitory?,5
Kneazles are most similar to what animal?,Cat
Which book is instrumental for this lesson?,Charm Your Own Cheese.
Which star is the brightest in the night sky?,Sirius.
Which is NOT one of the palm lines we read in Palmistry?,Time line
In the Hall of Prophecy there are rows and rows of glowing orbs. Which row contains the prophecy about Harry and Voldemort?,Row 97.
What's a telltale sign that mandrakes have matured?,They move into each other's pots
What is the max speed of a Firebolt broomstick?,150 mph
Why would you cast Alohomora?,Unlock a door.
What do the students call the Gryffindor ghost?,Nearly Headless Nick.
What is the biggest Wizarding newspaper in Britain?,The Daily Prophet
"In the movie, Professor McGonagall explains the origins of the Chamber of Secrets. Who does it in the book?","Professor Binns, the history teacher (who is also a ghost)"
Who was the first Minister of Magic?,Ulick Gamp
"In 1876, which caretaker tried to make Peeves leave Hogwarts?",Rancorous Carpe
Fanged Geraniums are most notable for what?,Their Fangs
From what event do we measure the age of the universe?,The Big Bang.
Who does Bill Weasley marry?,Fleur Delacour
Who is the Slytherin ghost?,The Bloody Baron
What is required in the manoeuvre Taking Passengers?,Complete cooperation.
What is the name of the wizarding prison in the Harry Potter series?,Azkaban
Who is Hufflepuff's patron ghost?,Fat Friar
How many Muggles see the flying Ford Anglia as Harry and Ron make their way to school?,Seven
How is mail delivered in the wizarding world?,By owl post.
What is Madam Hooch's second job?,Quiddich Referee
What is a spell used to mend broken objects?,Reparo
What is the term for a witch or wizard who can see the future?,Seer
"Who do you prefer: Dust, Binns, or Peeves?",Peeves!
Who is the professor of Transfiguration class?,McGonagall
What is Professor Minerva McGonagall's animagus?,A cat.
Which one of the following is not a founder of Hogwarts?,Helena Ravenclaw
What potion gives good luck to those who drink it?,Felix Felicis
Who sent Harry his Firebolt?,Sirius Black
"In our second year, where did you sneak into using a Shrinking Charm?",A Common Room
Which charm did we end in class by using Finite Incantatem?,Wand-lighting
Harry was raised by his mother’s sister. What was his aunt named?,Petunia
True or false: This is the longest movie in the franchise.,"False! Harry Potter and the Chamber of Secrets is the longest movie, at 161 minutes."
Dittany is used primarily for what purpose?,Healing
What is the magical equipment store in Hogsmeade?,Dervish and Banges
What boil-inducing ingredient can create an explosive reaction when added to a Cure for Boils?,Bulbadox Powder
What is Luna Lovegood’s father’s name?,Xenophilius Lovegood
What was the name of the company Vernon Dursley worked for?,Grunnings
"Ever the eccentric, Dumbledore has a scar above his left knee that is a perfect map of what?",The London Underground.
Who loses an ear at the start of the book?,George Weasley
Professor Sprout is the head of which Hogwarts house?,Hufflepuff
Dark matter and dark energy make up what percentage of our universe?,95%.
Which ghost haunts the second-floor girls' bathroom in Hogwarts?,Moaning Myrtle
What piece of equipment is essential when re-potting baby Mandrakes?,Earmuffs
What type of cauldron do first-year students need?,Pewter
Who is manipulated into vandalizing Hogwarts with messages about the Chamber of Secrets?,Ginny Weasley
What is Lockhart's favorite color?,Lilac
What is James Potter's Marauder nickname?,Prongs
Where is the Hall of Prophecy?,Ministry of Magic
What distinguishes Chameleon Ghouls from ordinary ghouls?,Their ability to change shape
Which of these books covers ancient runes?,Spellman's Syllabery
Who is the giant three-headed dog that guards the trapdoor leading to the Philosopher's Stone in the first book?,Fluffy
How many Principal Exceptions are there to Gamp's Law of Elemental Transfiguration?,Five
What part of a Mandrake is potentially fatal?,Its scream
What should you avoid getting in your eyes while flying?,Insects
Who is Slytherin's patron ghost?,Bloody Baron
What is the incantation for the Exploding Charm?,Bombarda
An intended transformation is directly influenced by which of the following?,Concentration
What does the Stretching Jinx do?,Causes the target to stretch
What is the name of the magical object that allows the user to become invisible?,The Cloak of Invisibility
Where is the British and Irish Quidditch League Headquarters located?,The Ministry of Magic
What is the name of the game played on broomsticks in the Harry Potter series?,Quidditch
Wich of these creatures is notable proud and easy to offend if not treated politely?,Hippogriff
Starfish and Stick is a tactic used by what Quidditch position?,Keeper
Which of these tasks can not be aided by a Vanishing Spell?,Dancing
"What do Harry, Ron and Hermione find in the locked cabinet of a writing desk at the Order of the Phoenix Headquarters?",A Boggart
What item in the Headmaster's Office allows you to review bottled memories?,The Pensieve
Do you know what kind of creature a Boggart is?,Non-being
What is the name of the Hogwarts caretaker who is always complaining about the students?,Argus Filch
Why did the Werewolf Code of Conduct fail?,No Werewolves Signed
You should cover your ears when this mature plant starts crying. Name that plant!,Mandrake
What are fluxweed and Boomslang skin used for?,Polyjuice
Who invented the Snitch in the Harry Potter series?,Bowman Wright
Who invented the Cheering Charm?,Felix Summerbee
"Who was Harry's first kiss, and in what book?","Cho Chang, Book 5."
What was the name of the orphanage where Lord Voldemort grew up?,Wool's Orphanage
What was the primary reason for the creation of the International Statute of Wizarding Secrecy?,Persecution by Muggles
What kind of spell is Flipendo?,Jinx
What is the crime Harry commits that causes the Ministry of Magic to hold a disciplinary hearing for him?,"He uses the Patronus Charm in front of a Muggle (Dudley, and only because there were Dementors!)."
Name the three different types of balls used in Quidditch.,"Quaffle, Bludger, Snitch."
What magical plant resembles a withered tree stump?,Snargaluff
What is the name of the Gryffindor ghost?,Nearly Headless Nick.
Which character in the Harry Potter series is known for wearing radish earrings?,Luna Lovegood
The Hogwarts motto is “Draco dormiens nunquan titillandus.” What does it mean?,“Never tickle a sleeping dragon.”
What's your favorite part of History of Magic?,Your impressions.
Who is Ravenclaw's patron ghost?,The Grey Lady
What is Hagrid’s half-brother’s name?,Grawp
What color is Teddy Lupin's hair when he is born?,Black
The Bouncy Bulb is extremely difficult to...,Pot.
Which of the following books was not written by Rita Skeeter?,Easy Spells to fool Muggles
Which statement is true about conjured objects?,They vanish in time
Who is the conductor of the Frog Choir?,Filius Flitwick
Which of the following is a side effect of Wiggenweld Potion?,Healing injuries
What position does Harry play in Quidditch?,Seeker
What are the two pubs in Hogsmeade called?,The Three Broomsticks and The Hog's Head.
"What is the counter spell for Accio, Summoning Charm?",Depulso
What is the name of Hagrid's pet dragon?,Norbert
New students need to learn the secrets of the castle. How many staircases does Hogwarts have?,142.
"Before the start of his second year at Hogwarts, how do the Weasley's manage to save Harry from the Dursley's house?",With a flying car
Where does the Sopophorous Plant grow?,Gloomy marshlands.
"Whose teeth did Nearly Headless Nick accidentally turn into tusks, leading to his death?",Lady Grieve
What is another word for antidote?,Cure (I got this in the Antidote to Common Potions lesson)
Which of these is an ingredient in Polyjuice Potion?,Powdered Bicorn Horn
What animal is Dolores Umbridge obsessed with?,"Cats (specifically, kittens)"
What is the incantation for a Confundus charm?,Confundo
Which of these is a Wiggenweld potion ingredient from the sea?,Lionfish Spine
What is the name of the Weasley twins' magical joke shop?,Weasleys' Wizard Wheezes.
Some curses are even capable of doing what?,Spanning generations
"In the Chamber of Secrets, where does Harry discover the entrance to the Chamber?",Myrtle's bathroom
Who did Professor Lupin marry?,Nyphadora Tonks
Who killed Emeric the Evil in a duel?,Egbert the Egregious
What creature sat in the corner of Professor Lupin's office the first time Harry Potter visited him at Hogwarts?,Grindylow
Which Minister of Magic resigned following the goblin rebellion of 1752?,Albert Boot
What is the incantation for the Tongue-Tying Curse?,Mimblewimble
What is the name of the street where the Dursleys live?,Privet Drive
"When Harry, Ron and Hermione make Polyjuice Potion, who steals the ingredients from Professor Snape’s office?",Hermione
Which potion causes the drinker to speak nonsense?,Babbling Beverage
"What does Uncle Vernon’s sister, Marge Dursley, do for a living?",Breeds bulldogs
How many Deathly Hallows did Albus Dumbledore possess?,Three
What is another name for the Alihotsy tree?,The hyena tree.
What was Harry Potter's middle name?,James
What was Elfric the Eager responsible for?,An uprising.
Which of the plants is prone to slapping people in the face?,Bouncing Bulbs
The charm Descendo can make a targeted object do what?,Lower
And how does Parvati defeat it?,"In the book, the mummy trips on its wrappings. In the movie, it turns into a giant jack-in-the-box (arguably no less scary)."
Where did Hermione hold the first meeting for students interested in joining Dumbledore's Army?,The Hog's Head
How is Bellatrix related to Tonks?,Tonks is Bellatrix's niece.
Where do monks grow gravity-resistant trees?,Nepal
What is the brand of magic that deals with altering the form or appearance of an object?,Transfiguration
"In our first Transfiguration class, Professor McGonagall showed us a Transfigured cauldron. The cauldron was sporting what strange feature?",Cat ears
Who wrote Unfogging the Future?,Cassandra Vablatsky
Who was expelled from Hufflepuff House?,Newt Scamander
"This one is a two-parter. Where does Vernon Dursley work, and what does the company produce?","Grunnings, a drill manufacturer."
Which of the following would be the easiest Transfiguration?,Porcupine to Pincushion
What's the best use for the Talirek Twirl?,Evading Bludgers.
Who wrote Magical Draughts and Potions?,Arsenius Jigger
What is Ginny's full name?,Ginevra Weasley
This topic will be included on what exam?,The N.E.W.T.S.
What class does Professor Vector teach?,Arithmancy
What purpose does the Cough Potion serve?,Cures a cough
What does solitary 'X' classification mean?,Boring
What incantation makes an object waterproof?,Impervius
Which of these spells would be most useful as an attack?,Engorgio
What do you say to summon a broom to your hand?,Up
"On what date do the Weasleys rescue Harry from number four, Privet Drive?","July 31—his birthday, of course!"
What is the name of the Black family's house-elf?,Kreacher
Who is the Potions Master at Hogwarts?,Severus Snape
Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the lavatory entrance?,Boris the Bewildered
Is it safe to drink water conjured by Aguamenti?,"Yes, it's safe to drink."
Arresto Momentum was originally developed for what purpose?,Slowing a Falling Quaffle
What is used in Xylomancy?,Twigs
What’s the name of Hagrid’s half-brother?,Grawp
What is the platform at King's Cross Station where Hogwarts students catch the Hogwarts Express called?,Platform 9 ¾
When was Ollivanders founded?,382 BC
When was He Who Must Not Be Named defeated?,Halloween
What are all Warlock conventions?,Important
What does Harry name his children?,"James Sirius, Albus Severus, and Lily Luna"
What creature is known for guarding Gringotts Bank?,Dragons
Which creature was used in Quidditch before being replaced by the Golden Snitch?,Golden Snidget
Where is the entrance to the Chamber of Secrets?,"In the second-floor girl's bathroom, also known as Moaning Myrtle's bathroom."
Which type of transfiguration is employed in this lesson?,Transformation
"In the movie, what sound does Ron make after eating a magical candy?",A lion’s roar
What color is Hagrid's umbrella?,Pink
What does the Impediment Jinx do?,Temporarily Slows a Target
What is the Bubotuber pus used for?,Clearing up acne
Who was the original owner of the Sorting Hat?,Godric Gryffindor
What does Harry do when he grows up?,He works as an Auror for the Ministry of Magic.
Which is the exciting moment in the book that is cut out of the movie?,Gryffindor winning the Quidditch Cup
Which Wizarding World publication contains series about the Crumple-Horned Snorkack?,The Quibbler
Harry is known for his talents in Quidditch. What is the max speed for a Firebolt broomstick?,150 mph.
Why does Neville Longbottom faint in Herbology class?,"His earmuffs were loose, so he heard the cry of the baby mandrake."
Where’s Peeves favorite place to swim?,Boys’ ground floor toilets
What does the reductor curse do?,Blasts objects into pieces.
Can the Extinguishing Charm be used to put out dragon fire?,"Yes, it can."
In which of these scenarios would you use Cistem Aperio?,Blasting Open a Locked Trunk
What does 'Avis' conjure?,Birds
The Broom Casting technique enables one to do what while flying?,Cast spells.
"What does Glumbubles treacle induce, if ingested?",Melancholy.
Who is the second Peverell brother?,Cadmus Peverell
Who wrote A History of Magic?,Bathilda Bagshot
What is Gilderoy Lockhart’s autobiography called?,Magical Me
What animal did Ginny joke that Ron had tattooed on his body?,Pygmy Puff
Who is the author of 'Curses and Counter-Curses'?,Vindictus Viridian
How many players are on a Quidditch team?,Seven
What is Parvati Patil’s Boggart in the book and the movie?,"In the book, a mummy; in the movie, a giant cobra"
Which Ministry of Magic department regulates Quidditch?,Magical Games and Sports
What ghost does Peeve fear?,Bloody Baron
Where do vanished items go?,Into non-being
Who wrote the Dream Oracle?,Inigo Imago
What is the side effect of Pepperup Potion?,Steam Coming from the Ears
Which best describes the effects of a Switching Spell?,Switching Two Targets Simultaneously
Which potions does not contain Valerian Sprigs?,Polyjuice Potion.
What property do you have to account for in Transfiguration?,Target's weight.
Which sweet-smelling plant changes its scent?,Flutterby Bush
"In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal?",Troy.
What does the incantation 'Incarcerous' conjure?,Binding ropes
"In The Sorcerer’s Stone, Harry and his friends are awarded last-minute House Points, putting Gryffindor ahead of Slytherin by just 10 points. What was the final tally?",482 to 472.
In what potion is the Sneezewort featured?,Befuddlement Draught.
What followed the Soap Blizzard of 1378?,Wizarding Economic Bubble Burst
Which incantation changes a person's hair color?,Crinus Muto
What animal did Neville Longbottom lose on the Hogwarts Express?,Toad
What colour does the presence of a ghost turn flames?,Blue
This one's a piece of cake. Name a magical plant whose roots can be used in many potions.,Valerian
How does Dumbledore escape from his office when the Ministry of Magic comes to take him to Azkaban?,"He grabs Fawkes’s tail, and they disappear in a flash of fire."
Quidditch players are constantly at risk of injury throughout the game. How many possible Quidditch fouls are there?,700.
"What was the name of the house where the Weasleys once lived, which became a second home to Harry Potter?",The Burrow
What did Harry do to get him temporarily expelled from Hogwarts?,He chases away dementors
What is the Fwooper plumage used as?,A quill
In what year was the book Harry Potter and the Sorcerer’s Stone released in the United States?,1998
What do Switching Spells do?,Swap Objects for Each Other
Which finger was Peter Pettigrew missing?,Right index finger
Dumbledore has a scar above his left knee that is a perfect map of what?,The London Underground
What can cause a person's patronus to change?,Major life events
What do you feed a newly-hatched dragon?,Brandy and chicken blood
Who wrote The Owl Airforce: True Life Tales of War in Europe?,Simon Dentata
How do first years get from the Hogsmeade train station to the castle?,They take boats over the lake.
What are switching spells?,Simultaneous Transfigurations
What was the name of the Quidditch team on the sock Mrs. Weasley tries to give to Harry?,Puddlemere United
This one is a doozy. Name every ingredient contained in Polyjuice Potion. (Hint: There are seven.),"Lacewing flies, leeches, powdered Bicorn horn, knotgrass, fluxweed, shredded Boomslang skin, and a bit of the person you want to turn into."
On which day do some staircases in Hogwarts Castle lead to somewhere different?,Friday
Touching the trunk of a Wiggentree protects you from what?,Dark Creatures
Myomancy involves observation of which creatures?,Mice and rats
When was dragon-breeding outlawed?,Warlocks' Convention of 1709
What do I hate most of all?,Myths and Legends
"You may have heard that Luna Lovegood wears shoes to bed, but does anyone know the reason?",She sleepwalks
What's another name for Belladonna?,Deadly Nightshade
Many know that Gryffindor's ghost is Nearly Headless Nick. But what is his full name?,Sir Nicholas de Mimsy-Porpington.
What kind of pest repellant was Hagrid looking for when saw Harry in Knockturn Alley?,Flesh-Eating Slugs
What is the incantation for the tongue-tying curse?,Mimblewimble.
Who slayed Bellatrix Lestrange?,Molly Weasley
"In the book version of Harry Potter and the Half-Blood Prince, who finds Harry on the Hogwarts Express after Malfoy breaks his nose and leaves him under the Invisibility Cloak?",Tonks
What were the wizards who cooperated with the Muggles called?,Scourers.
Which room did the members of Dumbledore's Army use as a hideout?,The Room of Requirement
When was Quidditch invented?,1050 AD
What spellbook contains the Leg-Locker Curse?,Curses and Counter-Curses
Who is Harry's godfather?,Sirius Black
What does Ginny say Ron has a tattoo of?,A Pygmy Puff
What form does Snape's patronus take?,Doe
What's the name of the joke shop in Hogsmeade?,Zonko's
What subject foes Headmistress McGonagall teach?,Transfiguration
"What is the name of the Hogwarts house known for its ambition, cunning, and resourcefulness?",Slytherin
What year do Hogwarts students take O.W.L.s?,Fifth year
What family does Winky the house-elf belong to before working at Hogwarts?,The Crouch family
What non-human species practices Divination?,Centaurs
What differentiates Knarls from hedgehogs?,Their suspicious nature
Which Ghost haunts the Girls' Bathroom at Hogwarts?,"""Moaning"" Myrtle Warren"
"Who is NOT in Slytherin: Lavender Brown, Pansy Parkinson, Blaise Zabini, or Gregory Goyle?",Lavender Brown
What are Nettles known for?,Stinging Hairs
What does Harry do to impress Professor McGonagall enough that she gets him on the Gryffindor Quidditch team?,Catches Neville Longbottom’s Remembrall
Who is Harry Potter's godfather?,Sirius Black
What is the effect of Wideye Potion?,Keeps you awake
When did Godric's fellow founders and Godric found Hogwarts?,10th Century
Remus Lupin was known to his friends by what nickname?,Moony
What is the best way to extract juice from the Sopophorous Bean?,Crush it
What do aurors do?,Catch dark wizards.
Which clause in the Code of Wand Use prohibits non-humans from using wands?,Clause Three
Which of the following reptile's blood is used for Wiggenweld Potion?,Salamander
Who is the Charms professor?,Professor Flitwick
Which trait did Helga Hufflepuff value the most?,Loyalty
The Vermillious charm produces what colour sparks?,Red
Where is the best place to buy flesh-eating slug repellent?,Diagon Alley
Porlocks guard herds of what non-magical creatures?,Horses
What is the primary use of the charm Scourgify?,Cleaning
What's the most unfun job at Hogwarts?,Caretaker
What is the primary use of Murtlap essence?,Soothing wounds
Which species commandeered the Giant Wars?,Giants
What plant helps you breathe underwater?,Gillyweed
Which sub-branch of Transfiguration is considered to be the most difficult?,Human Transfiguration
Who's the best person to tease?,Argus Filch
What creature was the Golden Snitch invented to replace?,Golden Snidget
Who was the first witch or wizard to hatch a basilisk?,Herpo the Foul
"What kind of creature is Newt's companion, Pickett?",Bowtruckle
How old are students when they first attend Hogwarts?,11-years-old
What is the incantation for the Shield Charm?,Protego
Where did Emeric the Evil spend most of his life?,England
Which Quidditch team only has female players?,Holyhead Harpies
The Pack Charm is what type of charm?,Household Charm
Which incantation can levitate an object?,Wingardium Leviosa
Who killed Sirius Black?,Bellatrix Lestrange
Where did Dumbledore and Grindelwald make the Blood Pact?,Barn
Which is not a form of dance?,Staccato
What does the Draught Charm cause?,Dryness
Which of the following is NOT another name for Belladonna?,Flitterbloom
What replaced the Wizards' Council?,The Ministry of Magic.
Which skill is most useful for surfing loops?,Balance.
What potion is used to rid yourself of Doxies?,Doxycide
What makes magical photographs move?,Developing solution
Who was the Journalist at The Daily Prophet in the Harry Potter series?,Rita Skeeter
Who was Harry Potter's godfather?,Sirius Black
Which of these is not a species of dragon?,Finnish Flamethrower
What makes a transformation easier?,Similarity in appearance
What spell unmasked Gellert Grindelwald in 1926?,Revelio
"Who is NOT in Gryffindor: Harry Potter, Ron Weasley, Draco Malfoy, or Ginny Weasley?",Draco Malfoy
What was the name of the person who was the original owner of the Elder Wand?,Antioch Peverell
Can Ascendio be used underwater?,"Yes, it can"
"When Neville Longbottom dresses his Boggart (Professor Snape) up in his grandmother’s clothes, what stuffed bird is on top of the hat?",A vulture
What is the name of Filch's cat?,Mrs. Norris
What children's book contains the story of the Deathly Hallows?,The Tales of Beedle the Bard
"In Book 7, what three Ministry of Magic employees do Ron, Harry, and Hermione impersonate?","Mafalda Hopkirk, Reginald Cattermole, and Albert Runcorn."
Who is Harry's first crush?,Cho Chang
"Dittany, mixed with this ingredient, can cure a Werewolf bite.",Powdered Silver
Who left the lightning-shaped scar on Harry Potter's forehead?,Voldemort
Did the werewolf code of conduct work?,No
What happens when you touch a Wiggentree?,Protection from Dark Creatures
How many students sleep in each dormitory?,5
Bowtruckles are especially fond of what tree?,Wiggentrees
Which plant's pus clears up acne?,Bubotuber
What is Salazar Slytherin's signature item?,Locket
Who teaches Potions class this year?,Professor Horace Slughorn
This real-life library served as the restricted section of the Hogwarts library in the film version. Which is it?,The Bodleian Library at Oxford University
Acromantula is the name for a giant version of what creature?,Spider
What is the incantation of the scrubbing spell?,Scourgify
"In the Chamber of Secrets, the tears of the Phoenix cured the Poison of what creature?",Basilisk
"In Book 4, what magical creature does Harry answer a riddle from in the maze during the Triwizard Tournament?",A sphinx.
How was Hermione able to take extra lessons?,She used a time-turner
What is the name of the Weasley family home?,The Burrow
How do fairies communicate?,By buzzing.
What school-aged peer is Harry's nemesis throughout his time at Hogwarts?,Draco Malfoy.
What ingredient from the Potions Storeroom did Snape ask you to retrieve in order to restore House Points?,Pickled Slugs
What does the spell Accio do?,Summons objects
"Before Dumbledore, who was the Headmaster of Hogwarts?",Armando Dippet
"When Harry was learning the Patronus Charm, what happy memory did he initially use?",The first time he rode a broom
"In Harry Potter and the Prisoner of Azkaban, whose portrait replaces the Fat Lady after she is attacked?",Sir Cadogan
Which elective is occasionally offered at Hogwarts?,Alchemy
What is Harry's middle name?,James
"On the wall across from the Room of Requirement, there is a tapestry showing a wizard trying to teach trolls ballet. What's his name?",Barnabus the Barmy.
What did Professor Snape tell Harry could Detoxify people from most kinds of poisons?,Bezoar
"If I wanted to use an Ageing Potion to make myself significantly older, what would I do?",Drink a Bigger Quantity
Which plant produces stinking sap?,Mimbulus Mimbletonia
Where is the entrance to St. Mungos located?,Muggle London
What is the counter-charm to Colloportus?,Alohomora
What incantation marks the air with a burning trail?,Flagrate
Bowling dates to what ancient civilization?,Ancient Egypt
What magazine does Xenophilius Lovegood publish?,The Quibbler
Why do Ron Weasley and Hermione Granger stop speaking?,"Ron blames Hermione’s cat, Crookshanks, for the disappearance of his pet rat, Scabbers."
When was the Werewolf Code of Conduct developed?,1637
What lives in the Forbidden Forest?,Intelligent wolves
At what age do children receive their Hogwarts letter?,11
Who founded St Mungo's Hospital?,Mungo Bonham
What does Harry do with his winnings from the Triwizard Tournament?,Gives it to the Weasley Twins
What do Uncle Vernon and Aunt Petunia give Harry for Christmas?,A 50-pence piece
What is the name of the place where students buy their school supplies?,Diagon Alley
Who created the International Statute of Wizarding Secrecy?,International Confederation of Wizards
Who is Dobby's original owner?,Lucius Malfoy
"What is Fred Weasley’s chosen code name on Potterwatch, the secretive radio programme set up by the Order of the Phoenix?",Rapier.
"When Hermione Granger is found Petrified, she is not alone. Who is with her?",Penelope Clearwater
Which of the following creatures eat Fairy Eggs?,Bowtruckles
Which member of the Council became the first Minister of Magic?,Ulick Gamp
What does Cave Inimicum do?,Conceals presences
What is the use of a draught of peace?,Calming the drinker
Which insect is Ron afraid of?,Spiders
"Which of these spells is most similar to Flipendo, the Knockback Jinx?",Depulso
Which condition could be remedied by a Calming Draught?,Shock
What is Godric Gryffindor's signature item?,Sword
What does Colovaria do?,Change Something's Colour
Who wrote Fantastic Beasts and Where to Find Them?,Newt Scamander
When does Quidditch season begin?,A September
How many possible Quidditch fouls are there?,700
What office does Arthur Weasley work for in the Ministry of Magic?,The Misuse of Muggle Artefacts Office
Where was the first meeting of Dumbledore's Army?,Hog's Head Inn
What do Flobberworms eat?,Lettuce
What is Snape's birthday?,"Jan. 9, 1960"
Which spell is one of the Unforgivable Curses?,Crucio
What is at the base of the Whomping Willow?,A tunnel that leads to the Shrieking Shack.
What is the name of the spell used to conjure the Patronus Charm?,Expecto Patronum
How old is Professor Snape?,About 30
"In the book, where do Hermione Granger’s parents move to?",Australia
Who is the Headmaster of Hogwarts when Harry arrives?,Albus Dumbledore.
What makes the Manticore's tail so dangerous?,Its deadly sting
Harry uses Parseltongue to speak to which creatures?,Snake
Who guards the entrance to the Gryffindor common room?,The Fat Lady
Which of the following Charms did we learn in the first year?,Knockback Jinx
Which of these factors does not affect Transfiguration?,Hue
Why shouldn't you drop Puffapod beans?,They'll bloom
What is Bubotuber pus used for?,Clearing up acne
Where is the best place to buy flesh-eating repellent?,Knockturn Alley
Which of these being does not live on the Hogwarts grounds?,Goblins
What's the only exciting part of my class?,Entrance Through the Blackboard
What is arithmancy?,Numerology
How do you get into the Room of Requirement?,"While thinking about what you need the room to become, walk past where it should be three times."
Does Blue Sparks do any damage when cast on people?,It only hurts a little.
What is another name for Defodio?,Gouging Spell
What item in the Headmaster's Office allows you to review bottled memories?,The Pensieve.
Where do Glumbubles nest?,Dark and secluded places.
What is the correct way to open the Monster Book of Monsters?,Stroke the spine
What are the gemstones in the cursed necklace Draco Malfoy buys from Borgin and Burkes?,Opals
And where do the Weasleys go on holiday with their winnings?,Egypt
What is the primary ingredient in Polyjuice Potion?,A piece of the person you want to turn into
What magical plant appears to have floating fruit?,Dirigible Plum
What is Dean Thomas's favorite sport?,Football (soccer)
What is the correct birth order of the Weasley children?,"Bill, Charlie, Percy, Fred and George, Ron, Ginny"
Who is Harry Potter's godfather?,Sirius Black.
What can't the Blackboard Writing Spell create on a blackboard?,Music scores.
What is Voldemort's real name?,Tom Marvolo Riddle
"For Harry's 17th birthday, what color did Hermione turn the leaves of the Weasleys’ crabapple tree?",Gold
Which spell causes objects to swell in size?,Engorgio
What is the putrid green fluid produced by the mimbulus mumbletonia?,Stinksap
Which of the following is NOT an ingredient in the Antidote to Common Potions?,Red Myrrh
What does the spell Colloportus do?,Lock and seal doors
What is the name of the Weasley twins’ magic joke shop?,Weasleys’ Wizard Wheezes
The Muffliato Charm fills its targets' ears with what?,Unidentifiable Buzzing
What did Hermione say Ron has the emotional range of?,A teaspoon
What was the name of the wizard who created the Sorcerer's Stone?,Nicolas Flamel
What was the name of the Potters' house-elf?,Kreacher
Is it safe to eat mistletoe berries?,"No, they're poisonous."
"In the book, what sport has Dudley recently taken up?",Boxing
What name does Buckbeak get after being saved from execution?,Witherwings
What are the optimal growing conditions for Devil's Snare?,Dark and damp
What event followed the Soap Blizzard of 1378?,Economic Crash
What was the name of Sirius Black's furry alter ego?,Padfoot
Who does Harry encounter in the Prefect's bathroom?,Moaning Myrtle
What is Gilderoy Lockhart’s favorite color?,Lilac
What sweet causes hiccups?,Hiccough Sweet
What is a healing spell commonly used in the Hospital Wing?,Episkey
Who is the house ghost of Hufflepuff?,The Fat Friar
How much gold do the Weasleys win in the Daily Prophet Grand Prize Galleon Draw?,700 galleons
How often do the flowers of the Fluttery Bush Bloom?,Once per century
What causes the nightly movement of the stars across the sky?,The rotation of the Earth.
On what date did the Battle of Hogwarts end with Voldemort’s death?,"May 2, 1998"
What is the name of Fred and George Weasley’s shop?,Weasley’s Wizard Wheezes
"Throughout his school years, Harry owns two brooms. Which are they?",Nimbus 2000 and Firebolt
What is the shape of the knocker on the door to the Ravenclaw Common Room?,Eagle
"In the movie, who hugs Draco Malfoy?",Voldemort (and it’s super awkward)
Where do first-years have Herbology class?,Greenhouse One
